Gene	sgRNA	NK_vs_Control|beta	NK_vs_Control|z	NK_vs_Control|p-value	NK_vs_Control|fdr	NK_vs_Control|wald-p-value	NK_vs_Control|wald-fdr
FAM104A	4	0.080956	0.92861	0.41788	0.9678	0.35309	1
FAM104B	4	-0.14342	-0.82572	0.11565	0.83601	0.40896	1
FAM105A	4	-0.12743	-0.6218	0.15607	0.87489	0.53407	1
FAM105B	4	0.064214	1.092	0.53158	0.97782	0.27481	1
FAM107A	4	0.0060578	0.070767	0.98388	0.99832	0.94358	1
FAM107B	4	0.14422	1.3993	0.14283	0.86324	0.16171	1
FAM109A	4	-0.07409	-0.76555	0.37546	0.96087	0.44395	1
FAM109B	4	0.078007	1.1744	0.43545	0.9678	0.24025	1
FAM110A	4	-0.033894	-0.61075	0.64172	0.98667	0.54136	1
FAM110B	4	-0.091633	-1.1685	0.28478	0.93664	0.24261	1
FAM110C	4	-0.1898	-2.5357	0.046036	0.64896	0.011223	1
FAM110D	4	0.074637	0.85953	0.4573	0.96963	0.39005	1
FAM111A	4	0.0059211	0.080093	0.9826	0.99832	0.93616	1
FAM111B	4	0.0045019	0.040482	0.97076	0.99832	0.96771	1
FAM114A1	4	0.10642	1.2997	0.27972	0.93549	0.19372	1
FAM114A2	4	0.025249	0.25969	0.84638	0.99276	0.7951	1
FAM115A	4	-0.066136	-0.56094	0.42188	0.9678	0.57484	1
FAM115C	4	0.097692	0.83878	0.32142	0.94646	0.40159	1
FAM117A	4	-0.13543	-1.3413	0.13455	0.86037	0.17983	1
FAM117B	4	0.065266	0.71611	0.52424	0.97782	0.47392	1
FAM118A	4	-0.0074441	-0.084519	0.86451	0.99445	0.93264	1
FAM118B	4	-0.091978	-0.77342	0.28322	0.93619	0.43928	1
FAM120A	4	0.014397	0.1649	0.94296	0.99749	0.86902	1
FAM120AOS	4	0.046828	0.69868	0.66352	0.98986	0.48475	1
FAM120B	4	0.04819	0.41728	0.65279	0.98856	0.67647	1
FAM120C	4	0.035956	0.46486	0.75498	0.99276	0.64204	1
FAM122A	4	-0.21161	-1.7263	0.027243	0.54264	0.084298	1
FAM122B	4	-0.080125	-0.75093	0.34199	0.95512	0.4527	1
FAM122C	4	-0.025039	-0.24578	0.7145	0.99183	0.80585	1
FAM124A	4	0.074325	0.69276	0.45969	0.96963	0.48846	1
FAM124B	4	-0.09768	-0.89253	0.2592	0.93425	0.37211	1
FAM126A	4	0.01983	0.098666	0.89542	0.99567	0.9214	1
FAM126B	4	-0.069486	-0.80163	0.40292	0.9678	0.42277	1
FAM127A	4	-0.085301	-1.182	0.31625	0.94361	0.23722	1
FAM127B	2	-0.095381	-0.80436	0.42133	0.9678	0.42119	1
FAM127C	2	0.11655	0.75311	0.40454	0.9678	0.45138	1
FAM129A	4	-0.18379	-1.2298	0.051818	0.67244	0.21877	1
FAM129B	4	-0.018244	-0.28594	0.77166	0.99276	0.77492	1
FAM129C	4	0.22354	2.5291	0.027243	0.54264	0.011434	1
FAM131A	4	-0.020338	-0.29337	0.75353	0.99276	0.76924	1
FAM131B	4	0.026527	0.21955	0.83554	0.99276	0.82622	1
FAM131C	4	0.052013	0.66458	0.62232	0.98433	0.50632	1
FAM132A	4	0.083822	1.044	0.39931	0.96701	0.2965	1
FAM133A	4	-0.39419	-0.95934	0.00055599	0.07874	0.33739	1
FAM133B	3	0.38813	0.86299	0.0028355	0.18375	0.38815	1
FAM134A	4	0.0034762	0.03838	0.96153	0.99788	0.96938	1
FAM134B	4	-0.0065722	-0.058852	0.87118	0.99445	0.95307	1
FAM134C	4	-0.18879	-1.8374	0.04687	0.64896	0.066151	1
FAM135A	4	-0.043555	-0.52003	0.57144	0.98163	0.60304	1
FAM135B	4	-0.07561	-1.2727	0.36723	0.95983	0.20313	1
FAM136A	4	-0.0518	-0.28943	0.51434	0.97782	0.77225	1
FAM13A	4	-0.10765	-1.286	0.21834	0.91603	0.19844	1
FAM13B	4	-0.017402	-0.12821	0.77855	0.99276	0.89798	1
FAM13C	4	-0.15821	-1.7427	0.086901	0.78916	0.081394	1
FAM149A	4	-0.04837	-0.70503	0.53703	0.97863	0.48079	1
FAM149B1	4	-0.078243	-0.54526	0.35272	0.95672	0.58557	1
FAM150A	4	0.018516	0.20641	0.90721	0.99749	0.83647	1
FAM150B	4	-0.014922	-0.19828	0.79968	0.99276	0.84283	1
FAM151A	4	0.030571	0.36004	0.80135	0.99276	0.71882	1
FAM151B	4	-0.18785	-1.4457	0.047926	0.65155	0.14827	1
FAM153A	2	-0.18605	-2.0451	0.15423	0.8737	0.040845	1
FAM153B	4	1.4661e-05	0.00016126	0.92983	0.99749	0.99987	1
FAM154A	4	-0.011092	-0.12814	0.83298	0.99276	0.89804	1
FAM154B	4	-0.10844	-1.1352	0.21533	0.91498	0.25628	1
FAM155A	4	0.15437	1.1918	0.11665	0.83718	0.23333	1
FAM155B	4	0.0010245	0.01373	0.9389	0.99749	0.98905	1
FAM156B	3	-0.04638	-0.35043	0.6137	0.98264	0.72602	1
FAM159A	4	-0.086368	-0.82999	0.31119	0.94195	0.40655	1
FAM159B	4	-0.0050487	-0.053869	0.88519	0.99513	0.95704	1
FAM160A1	4	0.021003	0.222	0.88485	0.99513	0.82432	1
FAM160A2	4	0.083524	1.0304	0.40087	0.96701	0.30283	1
FAM160B1	4	0.017697	0.15098	0.91416	0.99749	0.87999	1
FAM160B2	4	-0.070506	-0.68253	0.39614	0.96584	0.4949	1
FAM161A	4	0.058763	0.46791	0.57233	0.98163	0.63985	1
FAM161B	4	-0.060066	-0.42565	0.45947	0.96963	0.67037	1
FAM162A	4	0.010243	0.093959	0.97982	0.99832	0.92514	1
FAM162B	4	-0.064723	-0.67635	0.43	0.9678	0.49882	1
FAM163A	4	0.093387	1.1522	0.34527	0.95655	0.24924	1
FAM163B	4	0.12215	1.3575	0.216	0.91498	0.17463	1
FAM166A	4	0.075063	0.56804	0.45446	0.96963	0.57001	1
FAM166B	4	0.036427	0.30807	0.75131	0.99276	0.75803	1
FAM167A	4	-0.062631	-0.62027	0.44234	0.96897	0.53508	1
FAM167B	4	-0.10675	-1.5372	0.22184	0.91886	0.12424	1
FAM168A	4	0.1671	0.90018	0.089848	0.79462	0.36803	1
FAM168B	4	0.013164	0.13423	0.95424	0.99788	0.89322	1
FAM169A	4	-0.0062419	-0.056255	0.87385	0.99445	0.95514	1
FAM169B	4	0.0049866	0.042757	0.9752	0.99832	0.9659	1
FAM170A	4	-0.11205	-1.0701	0.20166	0.9	0.28459	1
FAM170B	4	-0.036322	-0.39506	0.62209	0.98433	0.6928	1
FAM171A1	4	0.10874	1.0827	0.27082	0.93425	0.27895	1
FAM171A2	4	0.080585	0.86847	0.42016	0.9678	0.38514	1
FAM171B	4	0.067743	0.55602	0.50584	0.9766	0.5782	1
FAM172A	4	0.065847	0.46263	0.51957	0.97782	0.64363	1
FAM173A	4	-0.068096	-0.61927	0.41049	0.9678	0.53574	1
FAM173B	4	0.11134	1.1261	0.25976	0.93425	0.26014	1
FAM174A	4	0.092826	1.3926	0.34855	0.95672	0.16374	1
FAM174B	4	0.057179	0.95906	0.58479	0.98163	0.33753	1
FAM175A	4	-0.19805	-1.3776	0.038474	0.61111	0.16833	1
FAM175B	4	0.10983	0.76028	0.26637	0.93425	0.44709	1
FAM177A1	4	0.16289	0.81932	0.097909	0.80273	0.4126	1
FAM177B	4	0.22613	1.3842	0.025575	0.52332	0.16629	1
FAM178A	4	0.08483	0.47861	0.39319	0.96472	0.63221	1
FAM178B	4	0.080466	1.013	0.42083	0.9678	0.31107	1
FAM179A	4	-0.012126	-0.14807	0.82308	0.99276	0.88228	1
FAM179B	4	0.01856	0.1967	0.90682	0.99749	0.84406	1
FAM180A	4	0.1228	1.1742	0.21378	0.91489	0.24032	1
FAM181A	4	0.13717	1.0261	0.16263	0.87489	0.30486	1
FAM181B	4	0.051756	0.76831	0.62443	0.98433	0.4423	1
FAM183A	4	0.078923	0.67469	0.43011	0.9678	0.49987	1
FAM184A	4	0.071489	0.81385	0.47893	0.97647	0.41573	1
FAM184B	4	0.02063	0.25222	0.88825	0.99516	0.80087	1
FAM185A	4	-0.15526	-1.425	0.092794	0.79767	0.15417	1
FAM186A	4	0.13139	0.61572	0.18047	0.88267	0.53808	1
FAM186B	4	-0.03227	-0.36629	0.65523	0.9888	0.71415	1
FAM187B	4	0.071537	0.64742	0.47865	0.97647	0.51736	1
FAM188A	4	-0.0088388	-0.073148	0.85194	0.99321	0.94169	1
FAM188B	4	-0.088662	-0.91981	0.29984	0.93857	0.35767	1
FAM189A1	4	0.021287	0.16163	0.88235	0.99473	0.8716	1
FAM189A2	4	-0.04583	-0.36664	0.55449	0.98082	0.71389	1
FAM189B	4	0.026096	0.24448	0.83938	0.99276	0.80686	1
FAM192A	4	0.10121	0.8117	0.3034	0.93857	0.41696	1
FAM193A	4	0.025837	0.29411	0.84143	0.99276	0.76867	1
FAM193B	4	0.044122	0.46078	0.68587	0.99092	0.64496	1
FAM194A	4	0.16866	2.1433	0.087123	0.78916	0.032093	1
FAM194B	4	0.04734	0.59406	0.65912	0.98907	0.55247	1
FAM195A	4	-0.069163	-0.73697	0.40476	0.9678	0.46114	1
FAM195B	4	-0.03162	-0.41422	0.66018	0.98925	0.67871	1
FAM196A	4	0.0019474	0.022509	0.94746	0.99749	0.98204	1
FAM196B	4	0.0029882	0.031675	0.95708	0.99788	0.97473	1
FAM198A	4	0.027282	0.28657	0.82914	0.99276	0.77444	1
FAM198B	4	-0.018119	-0.27028	0.77293	0.99276	0.78695	1
FAM199X	4	-0.02413	-0.29508	0.72123	0.99256	0.76793	1
FAM19A1	4	-0.13475	-1.6251	0.13661	0.86241	0.10414	1
FAM19A2	4	-0.028639	-0.23872	0.68537	0.99092	0.81133	1
FAM19A3	4	0.017929	0.25856	0.91238	0.99749	0.79598	1
FAM19A4	4	0.0095373	0.10805	0.98671	0.99832	0.91396	1
FAM19A5	4	0.063734	0.84868	0.53497	0.97844	0.39606	1
FAM200A	4	-0.17788	-1.6713	0.058268	0.69769	0.09466	1
FAM200B	4	0.034593	0.18712	0.76565	0.99276	0.85156	1
FAM203A	4	0.014344	0.21142	0.94334	0.99749	0.83256	1
FAM204A	4	0.14006	1.4526	0.15368	0.87173	0.14632	1
FAM205A	4	-0.040113	-0.41398	0.59418	0.98163	0.67889	1
FAM206A	4	-0.010795	-0.081684	0.83565	0.99276	0.9349	1
FAM207A	3	-0.115	-0.96261	0.25726	0.93425	0.33574	1
FAM208A	4	-0.14585	-1.3044	0.11036	0.82717	0.1921	1
FAM208B	4	0.01188	0.10776	0.96542	0.99788	0.91419	1
FAM209A	4	-0.072543	-0.8974	0.38452	0.9615	0.36951	1
FAM209B	4	0.027189	0.26558	0.83053	0.99276	0.79056	1
FAM20A	4	0.016033	0.21533	0.92939	0.99749	0.82951	1
FAM20B	4	0.087249	0.91697	0.38063	0.9615	0.35916	1
FAM20C	4	0.055029	0.66322	0.60075	0.98163	0.50719	1
FAM210A	4	0.13536	1.1039	0.16785	0.87618	0.26965	1
FAM210B	4	0.062972	0.61842	0.54042	0.97898	0.5363	1
FAM211A	4	0.018308	0.25755	0.90898	0.99749	0.79676	1
FAM211B	4	-0.01477	-0.14087	0.80107	0.99276	0.88798	1
FAM212A	4	0.02858	0.27136	0.8183	0.99276	0.78611	1
FAM212B	4	-0.12948	-1.0764	0.15112	0.87115	0.28174	1
FAM213A	4	-0.016111	-0.11791	0.79028	0.99276	0.90614	1
FAM213B	4	-0.038138	-0.53435	0.60764	0.98163	0.5931	1
FAM214A	4	-0.10441	-1.1344	0.23146	0.92533	0.25664	1
FAM214B	4	-0.052185	-0.43778	0.51129	0.97782	0.66155	1
FAM216A	4	-0.2969	-2.1336	0.0033359	0.20339	0.032875	1
FAM216B	4	0.013879	0.063164	0.94724	0.99749	0.94964	1
FAM217A	4	0.1258	1.4203	0.20071	0.89968	0.15553	1
FAM217B	4	-0.011277	-0.1204	0.83109	0.99276	0.90417	1
FAM218A	4	-0.13957	-1.6035	0.12487	0.85077	0.10881	1
FAM219A	4	-0.074526	-0.86755	0.37362	0.96087	0.38564	1
FAM219B	4	0.11971	1.6161	0.22445	0.91886	0.10607	1
FAM21B	1	0.11623	0.4605	0.53569	0.97863	0.64516	1
FAM21C	3	0.1036	0.54481	0.36462	0.95983	0.58589	1
FAM220A	4	-0.15832	-1.2935	0.086734	0.78916	0.19583	1
FAM221A	4	-0.049263	-0.53741	0.53091	0.97782	0.59098	1
FAM221B	4	-0.01576	-0.13872	0.79295	0.99276	0.88967	1
FAM222A	4	-0.10101	-1.0814	0.24669	0.93425	0.27953	1
FAM222B	4	-0.028057	-0.24101	0.69043	0.99129	0.80955	1
FAM227B	4	0.1083	0.64129	0.27232	0.93425	0.52134	1
FAM228A	4	0.060908	0.70767	0.55615	0.98117	0.47915	1
FAM229A	4	0.026682	0.32255	0.8342	0.99276	0.74704	1
FAM229B	4	0.092541	1.325	0.35033	0.95672	0.18516	1
FAM24A	4	0.0556	0.62066	0.59674	0.98163	0.53482	1
FAM24B	4	-0.055516	-0.75408	0.4891	0.97647	0.4508	1
FAM25A	3	-0.068503	-0.2435	0.47943	0.97647	0.80762	1
FAM26D	4	-0.059573	-0.55601	0.46269	0.97153	0.5782	1
FAM26E	4	-0.017587	-0.23532	0.77716	0.99276	0.81396	1
FAM26F	4	-0.072316	-0.73805	0.38563	0.96172	0.46048	1
FAM32A	4	0.2327	0.70824	0.022406	0.49146	0.4788	1
FAM35A	3	0.094238	0.52089	0.40904	0.9678	0.60244	1
FAM3A	4	0.15499	1.6069	0.11515	0.83575	0.10808	1
FAM3B	4	0.096381	0.91779	0.32798	0.95069	0.35873	1
FAM3C	4	-0.021074	-0.17313	0.74669	0.99276	0.86255	1
FAM3D	4	-0.033064	-0.35758	0.64823	0.98807	0.72066	1
FAM43A	4	-0.0037631	-0.067446	0.89575	0.99574	0.94623	1
FAM43B	4	0.020841	0.28796	0.88608	0.99516	0.77338	1
FAM45A	4	0.070308	0.41556	0.48788	0.97647	0.67774	1
FAM46A	4	-0.19772	-2.0794	0.038697	0.61214	0.037582	1
FAM46B	4	-0.0036476	-0.047222	0.8967	0.99605	0.96234	1
FAM46C	4	0.087443	0.78483	0.37985	0.9615	0.43255	1
FAM46D	4	-0.010756	-0.084575	0.83593	0.99276	0.9326	1
FAM47A	4	0.021518	0.29138	0.87985	0.99447	0.77076	1
FAM47B	4	-0.0087404	-0.09136	0.85277	0.99321	0.92721	1
FAM47C	4	-0.20241	-2.3164	0.034749	0.59186	0.020536	1
FAM47E	4	0.04441	0.45586	0.68364	0.99092	0.64849	1
FAM47E-STBD1	4	-0.036475	-0.23999	0.62076	0.98431	0.81034	1
FAM49A	4	-0.015791	-0.15065	0.79245	0.99276	0.88025	1
FAM49B	4	-0.090286	-0.93703	0.29195	0.93857	0.34874	1
FAM50A	4	0.086789	0.48921	0.3823	0.9615	0.62469	1
FAM50B	4	-0.036956	-0.30766	0.61692	0.9843	0.75834	1
FAM53A	4	-0.044563	-0.55666	0.56388	0.98163	0.57776	1
FAM53B	4	0.040916	0.53906	0.71283	0.99183	0.58985	1
FAM53C	4	-0.0040211	-0.037183	0.89347	0.9953	0.97034	1
FAM57A	4	0.15517	1.8499	0.11459	0.83475	0.064327	1
FAM57B	4	0.0095947	0.090732	0.9866	0.99832	0.92771	1
FAM60A	4	0.081014	0.35094	0.41744	0.9678	0.72564	1
FAM63A	4	-0.042535	-0.47025	0.57834	0.98163	0.63818	1
FAM63B	4	0.02843	0.21662	0.81992	0.99276	0.8285	1
FAM64A	4	-0.033018	-0.37557	0.64889	0.98807	0.70723	1
FAM65A	4	0.14763	1.6066	0.13494	0.86037	0.10814	1
FAM65B	4	0.091173	0.94445	0.35778	0.95675	0.34494	1
FAM65C	4	-0.071653	-1.0996	0.38914	0.96261	0.27149	1
FAM69A	4	0.15796	1.0663	0.10764	0.81895	0.28627	1
FAM69B	4	-0.005478	-0.070983	0.88046	0.99466	0.94341	1
FAM69C	4	0.022721	0.3687	0.86912	0.99445	0.71235	1
FAM71A	4	-0.0037781	-0.04833	0.89559	0.99567	0.96145	1
FAM71B	4	-0.012457	-0.12013	0.81975	0.99276	0.90438	1
FAM71C	4	0.018851	0.24616	0.90426	0.99718	0.80556	1
FAM71D	4	-0.02352	-0.3482	0.72618	0.99256	0.72769	1
FAM71E1	4	-0.049304	-0.43611	0.53069	0.97782	0.66276	1
FAM71F1	4	0.05476	0.54049	0.60236	0.98163	0.58886	1
FAM71F2	4	0.044897	0.41968	0.67942	0.9899	0.67472	1
FAM72D	4	0.11597	0.47768	0.24019	0.93247	0.63288	1
FAM73A	4	-0.141	-1.285	0.12115	0.84891	0.1988	1
FAM73B	4	-0.11705	-1.4919	0.18487	0.88301	0.13573	1
FAM76A	4	0.10554	1.1816	0.28361	0.93619	0.23736	1
FAM76B	4	-0.081377	-0.84129	0.33621	0.95163	0.40019	1
FAM78A	4	-0.16639	-0.98521	0.071722	0.73212	0.32452	1
FAM78B	4	0.03906	0.41241	0.72796	0.99258	0.68004	1
FAM81A	4	0.07703	0.66509	0.44212	0.96897	0.50599	1
FAM81B	4	-0.014603	-0.14887	0.80251	0.99276	0.88166	1
FAM83A	4	0.051525	0.79084	0.62599	0.98461	0.42904	1
FAM83B	4	0.063009	0.50007	0.54009	0.97898	0.61702	1
FAM83C	4	0.064132	0.73047	0.53202	0.97782	0.4651	1
FAM83D	4	0.067941	0.57995	0.50445	0.97658	0.56195	1
FAM83E	4	-0.042354	-0.34962	0.57945	0.98163	0.72662	1
FAM83F	4	-0.0045436	-0.049972	0.88947	0.99516	0.96014	1
FAM83G	4	0.040109	0.47073	0.72017	0.99256	0.63784	1
FAM83H	4	0.14881	1.5085	0.13166	0.85714	0.13143	1
FAM84A	4	-0.0096899	-0.15378	0.8446	0.99276	0.87779	1
FAM84B	4	0.03354	0.42587	0.77583	0.99276	0.6702	1
FAM86A	4	0.10337	0.72815	0.29378	0.93857	0.46652	1
FAM86B1	1	-0.67121	-1.4008	0.022629	0.49274	0.16128	1
FAM86B2	1	0.075364	0.8625	0.69893	0.9916	0.38841	1
FAM86C1	2	0.15172	1.0144	0.27227	0.93425	0.3104	1
FAM89A	4	0.044959	0.55444	0.67853	0.9899	0.57928	1
FAM89B	4	0.053117	0.72426	0.61348	0.98255	0.46891	1
FAM8A1	4	0.085502	1.1013	0.38925	0.96261	0.27075	1
FAM90A1	3	0.028849	0.35994	0.83721	0.99276	0.71889	1
FAM91A1	4	0.048437	0.3022	0.65084	0.98837	0.7625	1
FAM92A1	4	0.059702	0.45567	0.56627	0.98163	0.64863	1
FAM92B	4	0.1051	0.9114	0.28511	0.93664	0.36209	1
FAM96A	4	0.29956	1.1902	0.0051151	0.25989	0.23398	1
FAM96B	4	-0.011964	-0.037486	0.82442	0.99276	0.9701	1
FAM98A	4	0.03409	0.3643	0.77032	0.99276	0.71564	1
FAM98B	4	-0.11328	-0.51985	0.19832	0.89965	0.60317	1
FAM98C	4	-0.03975	-0.31882	0.59635	0.98163	0.74986	1
FAM9A	4	-0.074851	-0.56452	0.37179	0.96087	0.5724	1
FAM9B	4	0.11545	0.87811	0.24208	0.93393	0.37989	1
FAM9C	4	-0.014305	-0.12392	0.80507	0.99276	0.90138	1
FAN1	4	-0.043036	-0.35538	0.57495	0.98163	0.7223	1
FANCA	4	-0.017221	-0.2118	0.78016	0.99276	0.83226	1
FANCB	4	-0.080949	-0.6149	0.33804	0.95163	0.53862	1
FANCC	4	-0.020194	-0.18091	0.75459	0.99276	0.85644	1
FANCD2	4	-0.016487	-0.14343	0.78695	0.99276	0.88595	1
FANCD2OS	4	0.0034993	0.046748	0.96191	0.99788	0.96271	1
FANCE	4	-0.17344	-1.746	0.062604	0.70112	0.080807	1
FANCF	4	0.1426	1.767	0.14756	0.86806	0.077228	1
FANCG	4	-0.088386	-1.4676	0.30135	0.93857	0.14222	1
FANCI	4	0.11731	1.2689	0.23446	0.92845	0.20448	1
FANCL	4	-0.044594	-0.2652	0.56366	0.98163	0.79085	1
FANCM	4	-0.044564	-0.51236	0.56388	0.98163	0.6084	1
FANK1	4	-0.031697	-0.25825	0.65962	0.98925	0.79622	1
FAP	4	0.019272	0.15261	0.9007	0.99662	0.8787	1
FAR1	4	0.10496	0.5892	0.28583	0.93751	0.55573	1
FAR2	4	-0.1422	-0.4683	0.11826	0.83945	0.63957	1
FARP1	4	0.091805	1.0994	0.35494	0.95672	0.27158	1
FARP2	4	0.14283	1.4919	0.14678	0.867	0.13571	1
FARS2	4	0.19421	0.83674	0.050206	0.66105	0.40274	1
FARSA	4	-0.095831	-0.56877	0.26699	0.93425	0.56951	1
FARSB	4	-0.04932	-0.17218	0.53052	0.97782	0.8633	1
FAS	4	-0.010595	-0.083039	0.83721	0.99276	0.93382	1
FASLG	4	0.16002	1.5507	0.10375	0.81508	0.12097	1
FASN	4	-0.087798	-1.1176	0.30396	0.93857	0.26375	1
FASTK	4	-0.082202	-0.77096	0.33304	0.95163	0.44073	1
FASTKD1	4	-0.15061	-1.1687	0.10136	0.81239	0.24253	1
FASTKD2	4	0.18175	1.4589	0.064661	0.70588	0.14458	1
FASTKD3	4	-0.080481	-0.82986	0.33988	0.95277	0.40662	1
FASTKD5	4	-0.30502	-1.4351	0.0027243	0.18375	0.15125	1
FAT1	4	-0.087834	-1.08	0.30396	0.93857	0.28016	1
FAT2	4	-0.0024579	-0.022821	0.90726	0.99749	0.98179	1
FAT4	4	0.017318	0.27329	0.91738	0.99749	0.78463	1
FATE1	4	0.0038022	0.046481	0.96425	0.99788	0.96293	1
FAU	4	-0.1001	-0.2603	0.24992	0.93425	0.79463	1
FAXC	4	0.12949	0.94852	0.18726	0.88515	0.34287	1
FAXDC2	4	0.014552	0.19805	0.94145	0.99749	0.84301	1
FBF1	4	-0.048454	-0.63232	0.53625	0.97863	0.52718	1
FBL	4	-0.10222	-0.33614	0.24091	0.93263	0.73677	1
FBLIM1	4	-0.010814	-0.11119	0.83559	0.99276	0.91147	1
FBLN1	4	0.062598	0.68897	0.54353	0.98057	0.49084	1
FBLN2	4	0.11678	1.3322	0.2368	0.93032	0.18278	1
FBLN5	4	0.12565	1.48	0.20121	0.89968	0.13886	1
FBLN7	4	0.068378	0.75305	0.501	0.97658	0.45142	1
FBN1	4	-0.075257	-0.97262	0.36929	0.95983	0.33074	1
FBN2	4	-0.15283	-1.2635	0.096686	0.79963	0.2064	1
FBN3	4	0.0094734	0.069702	0.98727	0.99832	0.94443	1
FBP1	4	0.112	0.96604	0.25714	0.93425	0.33403	1
FBP2	4	-0.19578	-1.3664	0.040309	0.61597	0.17182	1
FBRSL1	4	0.072508	0.72571	0.47203	0.97508	0.46802	1
FBXL12	4	-0.0071191	-0.10304	0.86679	0.99445	0.91793	1
FBXL13	4	0.048575	0.71373	0.64917	0.98815	0.47539	1
FBXL14	4	-0.01803	-0.24444	0.77388	0.99276	0.80689	1
FBXL15	4	0.02589	0.37245	0.84088	0.99276	0.70956	1
FBXL16	4	-0.080492	-0.41995	0.33988	0.95277	0.67453	1
FBXL17	4	0.086622	1.0553	0.38313	0.9615	0.29129	1
FBXL18	4	0.090158	1.1111	0.36345	0.95907	0.26652	1
FBXL19	4	0.16565	2.0295	0.092294	0.79767	0.042405	1
FBXL2	4	-0.10129	-0.90811	0.24491	0.93425	0.36382	1
FBXL20	4	0.026122	0.22055	0.83915	0.99276	0.82544	1
FBXL22	4	0.062553	0.62921	0.54387	0.98057	0.52921	1
FBXL3	4	0.12293	1.1669	0.21294	0.91365	0.24325	1
FBXL4	4	0.017337	0.23053	0.91738	0.99749	0.81768	1
FBXL5	4	-0.021936	-0.11291	0.73958	0.99276	0.9101	1
FBXL6	4	0.15421	1.5784	0.11692	0.83718	0.11446	1
FBXL7	4	0.0039731	0.048538	0.96614	0.99788	0.96129	1
FBXL8	4	0.041667	0.51339	0.70599	0.99183	0.60768	1
FBXO10	4	-0.04004	-0.41581	0.59474	0.98163	0.67755	1
FBXO11	4	0.0033383	0.024461	0.96058	0.99788	0.98048	1
FBXO15	4	-0.05659	-0.54593	0.48215	0.97647	0.58512	1
FBXO16	4	-0.017481	-0.18006	0.77794	0.99276	0.8571	1
FBXO17	4	-0.022886	-0.31536	0.73146	0.99276	0.75249	1
FBXO18	4	0.071803	0.89538	0.47693	0.97647	0.37058	1
FBXO2	4	-0.034097	-0.37591	0.64016	0.98588	0.70698	1
FBXO21	4	0.0033493	0.040594	0.9608	0.99788	0.96762	1
FBXO22	4	-0.046945	-0.63935	0.54776	0.98057	0.52259	1
FBXO24	4	0.0044983	0.055442	0.97076	0.99832	0.95579	1
FBXO25	4	-0.091821	-0.81747	0.28383	0.93619	0.41366	1
FBXO27	4	-0.012014	-0.14999	0.8237	0.99276	0.88077	1
FBXO28	4	-0.21323	-1.4572	0.026298	0.52968	0.14507	1
FBXO3	4	0.16798	2.1183	0.088124	0.79131	0.03415	1
FBXO30	4	-0.040521	-0.38961	0.59157	0.98163	0.69682	1
FBXO31	4	-0.010084	-0.10862	0.84099	0.99276	0.9135	1
FBXO32	4	-0.11836	-1.1457	0.18147	0.88267	0.25191	1
FBXO33	4	-0.032726	-0.40026	0.65145	0.98837	0.68897	1
FBXO34	4	-0.071429	-0.64471	0.39058	0.96378	0.51912	1
FBXO36	4	0.16687	0.9879	0.090126	0.79462	0.3232	1
FBXO38	4	-0.054784	-0.64818	0.49383	0.97647	0.51687	1
FBXO39	4	-0.068834	-1.063	0.40671	0.9678	0.28779	1
FBXO4	4	-0.027237	-0.23085	0.69765	0.9916	0.81743	1
FBXO40	4	0.026103	0.30559	0.83938	0.99276	0.75992	1
FBXO41	4	0.15261	1.3353	0.12182	0.84898	0.18177	1
FBXO42	4	0.14411	1.0354	0.14322	0.86472	0.30047	1
FBXO43	4	-0.06237	-0.28575	0.44412	0.96897	0.77507	1
FBXO44	4	0.077931	0.80926	0.43589	0.9678	0.41836	1
FBXO45	4	-0.030705	-0.38043	0.66752	0.98986	0.70363	1
FBXO46	4	0.070006	0.54698	0.48988	0.97647	0.5844	1
FBXO47	4	-0.08527	-0.96825	0.3163	0.94361	0.33292	1
FBXO48	4	0.035581	0.25124	0.75815	0.99276	0.80163	1
FBXO5	4	-0.25368	-1.3862	0.009563	0.33528	0.1657	1
FBXO6	4	0.049347	0.54146	0.64406	0.98764	0.58819	1
FBXO7	4	0.075264	0.68859	0.45324	0.96924	0.49108	1
FBXO8	4	0.06662	0.65819	0.51423	0.97782	0.51042	1
FBXO9	4	-0.20579	-1.3548	0.031302	0.57229	0.17548	1
FBXW10	4	0.12938	1.2848	0.18792	0.88601	0.19885	1
FBXW11	4	0.0083638	0.040858	0.99694	0.99928	0.96741	1
FBXW12	4	0.13691	1.2826	0.16329	0.87489	0.19964	1
FBXW2	4	0.025549	0.40926	0.84405	0.99276	0.68235	1
FBXW4	4	-0.14284	-1.4804	0.11692	0.83718	0.13875	1
FBXW5	4	0.014882	0.24631	0.93906	0.99749	0.80544	1
FBXW7	4	-0.062046	-0.68626	0.4464	0.96924	0.49255	1
FBXW8	4	0.034583	0.30383	0.76571	0.99276	0.76126	1
FBXW9	4	0.13864	1.5275	0.15773	0.87489	0.12664	1
FCAMR	4	0.077244	1.0166	0.44073	0.96897	0.30933	1
FCAR	4	0.062524	0.47852	0.54403	0.98057	0.63228	1
FCER1A	4	-0.022533	-0.14519	0.73485	0.99276	0.88456	1
FCER1G	4	-0.2192	-2.0966	0.022518	0.4927	0.036028	1
FCER2	4	0.13092	1.3327	0.18197	0.88267	0.18262	1
FCF1	4	0.12778	0.22914	0.19365	0.89491	0.81876	1
FCGBP	4	0.12226	1.3002	0.2155	0.91498	0.19354	1
