Gene	sgRNA	NK_vs_Control|beta	NK_vs_Control|z	NK_vs_Control|p-value	NK_vs_Control|fdr	NK_vs_Control|wald-p-value	NK_vs_Control|wald-fdr
CCDC153	5	-0.11098	-1.3494	0.16151	0.85466	0.17722	1
CCDC155	5	-0.047594	-0.5235	0.49917	0.96444	0.60063	1
CCDC157	5	0.047537	0.60132	0.62365	0.97599	0.54763	1
CCDC158	5	-0.1373	-1.3165	0.089681	0.75233	0.188	1
CCDC159	5	0.040298	0.38709	0.68865	0.98282	0.69869	1
CCDC160	5	-0.028385	-0.27833	0.6614	0.98152	0.78076	1
CCDC166	5	-0.071135	-0.88834	0.34288	0.94684	0.37436	1
CCDC167	5	0.089411	0.72363	0.31747	0.93916	0.46929	1
CCDC169	5	0.14964	1.197	0.091238	0.7561	0.2313	1
CCDC169-SOHLH2	5	0.092458	0.78377	0.3004	0.93498	0.43317	1
CCDC17	5	-0.018135	-0.22226	0.7527	0.98738	0.82411	1
CCDC170	5	-0.11433	-1.5292	0.15001	0.84574	0.12621	1
CCDC171	5	0.0083251	0.10674	0.99789	0.99972	0.91499	1
CCDC172	5	0.16814	1.3341	0.058268	0.64771	0.18217	1
CCDC173	5	-0.047142	-0.29918	0.50278	0.96686	0.76481	1
CCDC174	5	0.04273	0.47076	0.6663	0.98273	0.63781	1
CCDC175	5	0.1006	1.3055	0.25926	0.92079	0.19171	1
CCDC176	5	-0.11938	-0.7205	0.13483	0.83106	0.47122	1
CCDC177	5	-0.062581	-1.1266	0.39481	0.95627	0.25992	1
CCDC178	5	-0.06366	-0.61599	0.38819	0.95627	0.5379	1
CCDC179	2	0.012055	0.1133	0.97593	0.99927	0.9098	1
CCDC180	5	0.055547	0.74726	0.55282	0.97163	0.45491	1
CCDC181	5	0.051651	0.30386	0.58707	0.9733	0.76124	1
CCDC182	5	-0.08368	-1.2562	0.27366	0.92888	0.20903	1
CCDC19	5	-0.015232	-0.15681	0.78	0.99126	0.87539	1
CCDC22	5	0.023808	0.3779	0.84171	0.99235	0.70551	1
CCDC23	4	-0.16926	-1.3487	0.067942	0.68785	0.17745	1
CCDC24	5	0.090783	0.996	0.30913	0.9368	0.31925	1
CCDC25	5	0.069762	0.59099	0.44207	0.95903	0.55453	1
CCDC27	5	0.088385	0.98306	0.3232	0.94247	0.32558	1
CCDC28A	5	0.041296	0.50703	0.67936	0.98282	0.61213	1
CCDC28B	5	-0.12446	-1.157	0.12009	0.80748	0.24726	1
CCDC3	5	-0.012583	-0.14714	0.80457	0.99126	0.88302	1
CCDC30	5	-0.19099	-2.1521	0.023407	0.45662	0.031387	1
CCDC33	5	0.00070191	0.0078695	0.93228	0.99848	0.99372	1
CCDC34	5	0.18367	1.8868	0.039976	0.56659	0.059181	1
CCDC36	5	0.053112	0.6899	0.57328	0.9733	0.49026	1
CCDC37	5	-0.025137	-0.41412	0.69109	0.98282	0.67879	1
CCDC38	5	-0.13044	-1.2493	0.10464	0.78142	0.21157	1
CCDC39	5	-0.09772	-1.0529	0.20916	0.88894	0.29238	1
CCDC40	5	-0.07354	-0.8961	0.32909	0.9426	0.3702	1
CCDC41	5	-0.024328	-0.21929	0.69871	0.98282	0.82642	1
CCDC42	5	0.055971	0.56158	0.54854	0.97149	0.5744	1
CCDC42B	5	-0.008535	-0.12896	0.84015	0.99235	0.89739	1
CCDC43	5	0.062166	0.55735	0.49822	0.96396	0.57729	1
CCDC47	5	-0.059811	-0.57249	0.41232	0.95643	0.56699	1
CCDC50	5	0.071246	0.81269	0.43184	0.95903	0.4164	1
CCDC51	5	0.038056	0.39825	0.70816	0.98405	0.69044	1
CCDC53	5	0.10216	0.97434	0.25003	0.91936	0.32989	1
CCDC54	5	-0.081396	-1.0328	0.285	0.93036	0.30171	1
CCDC58	4	-0.081748	-0.29098	0.33226	0.94421	0.77107	1
CCDC59	5	-0.30042	-2.4501	0.00139	0.10593	0.014284	1
CCDC6	5	0.099632	1.2054	0.26398	0.92279	0.22804	1
CCDC60	5	-0.1533	-1.3163	0.060658	0.65802	0.18808	1
CCDC61	5	-0.042021	-0.6196	0.54342	0.97091	0.53552	1
CCDC62	5	-0.049675	-0.44025	0.48388	0.96371	0.65975	1
CCDC63	5	-0.059103	-0.45248	0.41738	0.95782	0.65092	1
CCDC64	5	-0.13951	-1.5078	0.085511	0.73978	0.13161	1
CCDC64B	5	-0.0059839	-0.11619	0.86467	0.99361	0.9075	1
CCDC65	5	-0.041184	-0.45562	0.55021	0.97163	0.64866	1
CCDC66	5	0.21033	1.6402	0.019682	0.41598	0.10096	1
CCDC67	5	-0.11326	-1.099	0.15351	0.84896	0.27179	1
CCDC68	5	-0.034739	-0.35499	0.60414	0.97519	0.72259	1
CCDC69	5	-0.04968	-0.39263	0.48388	0.96371	0.69459	1
CCDC7	5	0.1576	1.6174	0.075781	0.71101	0.10579	1
CCDC70	5	0.1028	1.5018	0.2463	0.91749	0.13315	1
CCDC71	5	-0.033858	-0.41708	0.61203	0.97519	0.67662	1
CCDC71L	5	-0.0057234	-0.059322	0.86734	0.99407	0.9527	1
CCDC73	5	0.048844	0.43783	0.61198	0.97519	0.66151	1
CCDC74A	4	0.055422	0.62451	0.60336	0.97519	0.53229	1
CCDC74B	3	0.014288	0.13001	0.9523	0.9986	0.89656	1
CCDC77	5	-0.11466	-0.80341	0.14906	0.84574	0.42174	1
CCDC78	5	-0.023364	-0.31732	0.70688	0.98405	0.751	1
CCDC8	5	0.037547	0.46766	0.71233	0.98475	0.64003	1
CCDC80	5	0.073079	0.73194	0.42016	0.95867	0.46421	1
CCDC81	5	0.1097	1.1786	0.216	0.89621	0.23857	1
CCDC82	5	-0.028143	-0.20308	0.66368	0.98215	0.83907	1
CCDC83	5	0.057092	0.70298	0.53925	0.97091	0.48207	1
CCDC84	5	-0.083466	-0.41142	0.2746	0.92888	0.68077	1
CCDC85A	5	0.002175	0.034322	0.94535	0.99848	0.97262	1
CCDC85B	5	0.00016977	0.0021876	0.9265	0.99848	0.99825	1
CCDC85C	5	0.018816	0.2505	0.89097	0.99778	0.8022	1
CCDC86	5	-0.0034521	-0.027268	0.89136	0.99778	0.97825	1
CCDC87	5	0.0036776	0.028526	0.95869	0.99873	0.97724	1
CCDC88A	5	0.037845	0.4542	0.70972	0.98405	0.64968	1
CCDC88B	5	-0.015734	-0.19063	0.77505	0.99126	0.84881	1
CCDC88C	5	0.0042611	0.066671	0.96447	0.99885	0.94684	1
CCDC89	5	0.0059932	0.058832	0.97982	0.99927	0.95309	1
CCDC9	5	0.09149	0.82577	0.3054	0.93602	0.40894	1
CCDC90B	5	-0.0066713	-0.045682	0.8585	0.99354	0.96356	1
CCDC91	5	-0.019602	-0.20233	0.73958	0.98702	0.83965	1
CCDC92	5	0.21983	2.9717	0.015123	0.36997	0.0029614	1
CCDC93	5	-0.027256	-0.36104	0.67158	0.98282	0.71807	1
CCDC94	5	0.015717	0.068649	0.92327	0.99848	0.94527	1
CCDC96	5	0.036967	0.51715	0.71722	0.98522	0.60505	1
CCDC97	5	0.083883	0.97245	0.34894	0.94865	0.33082	1
CCER1	5	-0.026048	-0.37228	0.68231	0.98282	0.70969	1
CCHCR1	5	0.040091	0.46823	0.6907	0.98282	0.63962	1
CCIN	5	0.091407	1.0691	0.30585	0.93602	0.28502	1
CCK	5	0.022592	0.27857	0.85428	0.99322	0.78057	1
CCKAR	5	-0.049729	-0.68967	0.48349	0.96371	0.4904	1
CCKBR	5	0.012313	0.17368	0.95813	0.99873	0.86211	1
CCL1	5	0.043138	0.48519	0.6614	0.98152	0.62754	1
CCL11	5	0.090832	1.1967	0.30874	0.93675	0.23141	1
CCL13	5	0.048942	0.54036	0.61114	0.97519	0.58895	1
CCL14	5	-0.081287	-1.1023	0.28522	0.93036	0.27033	1
CCL15	5	-0.068293	-0.59662	0.35911	0.95098	0.55076	1
CCL16	5	-0.088815	-1.0243	0.24964	0.91936	0.30567	1
CCL17	5	0.069868	0.83565	0.44151	0.95903	0.40335	1
CCL18	5	0.013147	0.23084	0.94946	0.99848	0.81744	1
CCL19	5	0.0072144	0.075236	0.99172	0.99944	0.94003	1
CCL2	5	-0.1127	-1.3727	0.15551	0.85067	0.16983	1
CCL20	5	0.14599	1.4027	0.099967	0.77544	0.1607	1
CCL21	5	-0.015143	-0.16863	0.78094	0.99126	0.86609	1
CCL22	5	0.040464	0.51079	0.68731	0.98282	0.60949	1
CCL23	5	0.10664	1.0099	0.22884	0.90422	0.31256	1
CCL24	5	0.14797	1.2091	0.095519	0.76356	0.22661	1
CCL25	5	0.013892	0.14534	0.94151	0.99848	0.88444	1
CCL26	5	-0.010241	-0.15329	0.82525	0.99234	0.87817	1
CCL27	5	0.04835	0.46771	0.61626	0.97519	0.63999	1
CCL28	5	-0.074292	-1.0074	0.32453	0.9426	0.31373	1
CCL3	5	-0.077125	-0.61301	0.30852	0.93675	0.53987	1
CCL4	3	-0.032712	-0.43794	0.70016	0.98304	0.66143	1
CCL5	5	-0.010506	-0.065452	0.82275	0.99234	0.94781	1
CCL7	5	-0.082165	-0.57848	0.28166	0.93036	0.56294	1
CCL8	5	0.087141	0.70638	0.33003	0.9426	0.47995	1
CCM2	5	-0.10333	-1.2084	0.18715	0.87052	0.22688	1
CCM2L	5	0.065238	0.9165	0.47526	0.96371	0.3594	1
CCNA1	5	0.0016801	0.020542	0.94062	0.99848	0.98361	1
CCNA2	5	-0.19819	-1.0362	0.019515	0.41489	0.30013	1
CCNB1	5	-0.33299	-1.9598	0.00072278	0.086667	0.050015	1
CCNB1IP1	5	-0.034545	-0.25742	0.60636	0.97519	0.79685	1
CCNB2	5	0.067491	0.66612	0.45958	0.96065	0.50533	1
CCNB3	5	-0.068259	-0.74707	0.35961	0.95098	0.45502	1
CCNC	5	-0.05634	-0.20173	0.43551	0.95903	0.84013	1
CCND1	5	-0.19341	-2.3851	0.021962	0.44036	0.017074	1
CCND2	5	0.030707	0.51945	0.77744	0.99126	0.60345	1
CCND3	5	-0.066578	-0.64956	0.37029	0.95115	0.51598	1
CCNDBP1	5	0.078229	0.34466	0.38424	0.95627	0.73035	1
CCNE1	5	-0.20584	-2.393	0.015734	0.37384	0.016709	1
CCNE2	5	-0.030206	-0.209	0.64622	0.98027	0.83445	1
CCNF	5	0.058314	0.73889	0.53025	0.97039	0.45998	1
CCNG1	5	0.022928	0.22255	0.85033	0.99261	0.82389	1
CCNG2	5	-0.0042153	-0.038303	0.88352	0.99736	0.96945	1
CCNH	5	-0.26536	-1.0006	0.0041699	0.2149	0.317	1
CCNI	5	-0.024484	-0.24304	0.69743	0.98282	0.80797	1
CCNI2	5	0.05611	0.71539	0.54754	0.97149	0.47437	1
CCNJ	5	0.066255	0.8348	0.4677	0.96247	0.40383	1
CCNJL	5	-0.013358	-0.19563	0.79734	0.99126	0.8449	1
CCNK	5	-0.59745	-2.4064	0	0	0.016112	1
CCNL1	5	0.21683	1.7448	0.01629	0.38003	0.081021	1
CCNL2	5	0.074056	0.64488	0.41282	0.95643	0.519	1
CCNO	5	-0.032822	-0.41104	0.62109	0.97555	0.68104	1
CCNT1	5	0.11823	1.3201	0.18309	0.86976	0.1868	1
CCNT2	5	0.046125	0.31355	0.63544	0.97792	0.75386	1
CCNY	5	-0.082406	-0.8917	0.28038	0.93036	0.37255	1
CCNYL1	5	-0.02913	-0.13696	0.65612	0.9807	0.89106	1
CCP110	5	0.037843	0.38538	0.70983	0.98405	0.69995	1
CCPG1	5	0.056983	0.5017	0.54036	0.97091	0.61588	1
CCR1	5	0.15305	1.5069	0.084121	0.73447	0.13185	1
CCR10	5	-0.0073499	-0.14709	0.85194	0.99294	0.88306	1
CCR2	5	-0.08068	-0.77137	0.28872	0.93036	0.44049	1
CCR3	5	-0.018894	-0.23221	0.74691	0.98722	0.81638	1
CCR4	5	-0.042878	-0.3557	0.53603	0.9709	0.72207	1
CCR5	5	-0.048735	-0.31754	0.49072	0.96371	0.75083	1
CCR6	5	0.028073	0.2873	0.80157	0.99126	0.77388	1
CCR7	5	-0.087316	-1.1197	0.25614	0.91993	0.26284	1
CCR8	5	-0.051158	-0.50066	0.4727	0.96371	0.61661	1
CCR9	5	-0.019709	-0.24195	0.73869	0.98702	0.80882	1
CCRL2	5	0.075347	0.70258	0.40309	0.95627	0.48232	1
CCRN4L	5	-0.01176	-0.17901	0.81091	0.9915	0.85793	1
CCS	5	0.043992	0.41538	0.65295	0.9807	0.67787	1
CCSAP	5	-0.042529	-0.49512	0.53948	0.97091	0.62052	1
CCSER1	5	-0.10246	-0.91755	0.18987	0.87052	0.35886	1
CCSER2	5	0.14783	1.3399	0.095741	0.76364	0.18029	1
CCT2	5	-0.0092843	-0.031506	0.83315	0.99234	0.97487	1
CCT3	5	-0.091758	-0.37151	0.23668	0.91178	0.71026	1
CCT4	5	0.12519	0.37332	0.15912	0.85307	0.70891	1
CCT5	5	-0.16092	-0.80588	0.049761	0.60802	0.42031	1
CCT6A	4	0.26467	0.60989	0.0098966	0.3125	0.54193	1
CCT6B	5	-0.23872	-2.1703	0.007617	0.27992	0.029982	1
CCT7	5	0.33441	1.1333	0.00083398	0.093333	0.25707	1
CCT8	5	-0.0871	-0.28628	0.25731	0.92058	0.77467	1
CCT8L2	5	0.060361	0.32713	0.51312	0.96796	0.74357	1
CCZ1	2	-0.0091452	-0.016724	0.8893	0.99778	0.98666	1
CCZ1B	5	-0.15508	-1.3449	0.057934	0.6468	0.17865	1
CD101	5	0.023167	0.33839	0.8481	0.99252	0.73507	1
CD109	5	0.060153	0.56937	0.51501	0.96796	0.5691	1
CD14	5	-0.18494	-1.8389	0.02691	0.48111	0.065933	1
CD151	5	0.048844	0.61658	0.61198	0.97519	0.53751	1
CD160	5	0.057852	0.67956	0.53341	0.97056	0.49678	1
CD163	5	0.013281	0.1459	0.94796	0.99848	0.884	1
CD163L1	5	-0.042137	-0.38822	0.54264	0.97091	0.69785	1
CD164	5	0.052683	0.75679	0.57689	0.9733	0.44917	1
CD164L2	5	0.012839	0.21733	0.95307	0.99866	0.82795	1
CD177	5	0.00636	0.061468	0.98365	0.99927	0.95099	1
CD180	5	-0.10672	-1.2282	0.17541	0.86644	0.21938	1
CD19	5	-0.052426	-0.62625	0.46242	0.96065	0.53115	1
CD1A	5	0.043102	0.64779	0.6619	0.98186	0.51712	1
CD1B	5	-0.065343	-0.87564	0.37735	0.95377	0.38122	1
CD1C	5	0.14837	1.7847	0.094574	0.76346	0.074311	1
CD1D	5	0.058796	0.90153	0.52563	0.96847	0.36731	1
CD1E	5	-0.1255	-1.1236	0.11737	0.80236	0.26117	1
CD2	5	0.049511	0.25943	0.60558	0.97519	0.7953	1
CD200	5	0.015841	0.16996	0.92238	0.99848	0.86504	1
CD200R1	5	0.047074	0.51116	0.62816	0.97649	0.60924	1
CD200R1L	5	-0.012746	-0.15994	0.80296	0.99126	0.87293	1
CD209	5	0.03931	0.32166	0.69676	0.98282	0.74771	1
CD22	5	0.0022981	0.030902	0.94618	0.99848	0.97535	1
CD226	5	0.006127	0.067523	0.98087	0.99927	0.94617	1
CD244	5	-0.10716	-0.91168	0.17386	0.86549	0.36194	1
CD247	5	0.041074	0.39578	0.68147	0.98282	0.69226	1
CD248	5	0.022969	0.27038	0.84999	0.99261	0.78687	1
CD27	5	0.055257	0.51953	0.5556	0.97247	0.60339	1
CD274	5	0.12822	1.5385	0.14939	0.84574	0.12392	1
CD276	5	0.070011	0.45083	0.44062	0.95903	0.65211	1
CD28	5	-0.10942	-1.2368	0.16635	0.86002	0.21615	1
CD2AP	5	-0.15878	-1.6853	0.052263	0.61639	0.091937	1
CD2BP2	5	0.034334	0.42946	0.74263	0.98722	0.66759	1
CD300A	5	0.048676	0.50123	0.61331	0.97519	0.61621	1
CD300C	5	0.030546	0.32213	0.77905	0.99126	0.74735	1
CD300LD	5	-0.03428	-0.46697	0.60897	0.97519	0.64052	1
CD300LF	5	-0.088424	-1.0083	0.25103	0.91936	0.31329	1
CD300LG	5	-0.025853	-0.34621	0.68414	0.98282	0.72919	1
CD302	5	0.045317	0.37668	0.64167	0.9788	0.70641	1
CD320	5	-0.04863	-0.70916	0.49149	0.96371	0.47823	1
CD33	5	0.038059	0.58793	0.70811	0.98405	0.55658	1
CD34	5	0.01476	0.21194	0.93234	0.99848	0.83216	1
CD36	5	-0.0095623	-0.075405	0.83076	0.99234	0.93989	1
CD37	5	-0.042265	-0.42622	0.54142	0.97091	0.66995	1
CD38	5	0.069894	1.0386	0.44145	0.95903	0.29897	1
CD3D	5	0.013337	0.062325	0.94724	0.99848	0.9503	1
CD3E	5	-0.094888	-0.72785	0.22189	0.89746	0.46671	1
CD3EAP	5	0.011817	0.099524	0.96342	0.99885	0.92072	1
CD3G	5	0.082815	0.67835	0.35517	0.9498	0.49755	1
CD4	5	0.0093806	0.078342	0.98738	0.99927	0.93756	1
CD40	5	-0.10621	-1.2843	0.17692	0.86644	0.19902	1
CD40LG	5	0.12655	0.7245	0.15434	0.84941	0.46876	1
CD44	5	0.0049044	0.072825	0.97053	0.99927	0.94195	1
CD46	5	0.12633	1.5111	0.15523	0.84941	0.13076	1
CD47	5	0.017033	0.090759	0.91015	0.99801	0.92768	1
CD48	5	0.10977	0.91962	0.2155	0.89618	0.35777	1
CD5	5	0.035244	0.45389	0.73357	0.98702	0.64991	1
CD52	1	0.12636	1.7448	0.49716	0.96385	0.081018	1
CD53	5	0.048769	0.52059	0.61281	0.97519	0.60265	1
CD55	5	0.021417	0.25104	0.8654	0.99368	0.80179	1
CD58	5	0.73189	3.081	0	0	0.0020631	1
CD59	5	-0.023558	-0.25499	0.70527	0.98402	0.79873	1
CD5L	5	0.020792	0.25368	0.87229	0.99455	0.79974	1
CD6	5	0.11277	1.7271	0.20321	0.88221	0.084157	1
CD63	5	-0.12071	-1.3983	0.13055	0.82273	0.16203	1
CD68	5	-0.00071236	-0.0066957	0.91744	0.99801	0.99466	1
CD69	5	0.019922	0.20036	0.88052	0.99635	0.8412	1
CD7	5	-0.079405	-0.7584	0.29579	0.93042	0.44821	1
CD70	5	0.032211	0.31736	0.76326	0.98793	0.75097	1
CD72	5	-0.050048	-0.58382	0.48082	0.96371	0.55934	1
CD74	5	0.034445	0.59431	0.74135	0.98719	0.5523	1
CD79A	5	0.032884	0.41312	0.75637	0.98752	0.67952	1
CD79B	5	0.069149	0.61086	0.44696	0.95903	0.54129	1
CD80	5	0.18245	1.7624	0.04131	0.57776	0.077999	1
CD81	5	0.0085636	0.098985	0.99561	0.99944	0.92115	1
CD82	5	0.016707	0.18761	0.9136	0.99801	0.85118	1
CD83	5	0.01339	0.1421	0.94701	0.99848	0.887	1
CD84	5	-0.091465	-0.9166	0.23813	0.91256	0.35935	1
CD86	5	0.077792	0.47927	0.38713	0.95627	0.63175	1
CD8A	5	0.088107	1.1994	0.32486	0.9426	0.23035	1
CD8B	5	0.024247	0.20693	0.83826	0.99235	0.83606	1
CD9	5	0.083903	0.83531	0.34888	0.94865	0.40355	1
CD93	5	0.094135	1.0083	0.29089	0.93036	0.31329	1
CD96	5	0.10775	1.0471	0.22423	0.90083	0.29505	1
CD97	5	0.075111	0.6748	0.4052	0.95627	0.4998	1
CD99	5	-0.059025	-1.0283	0.41788	0.95782	0.30379	1
CD99L2	5	-0.11502	-1.5083	0.14795	0.84574	0.13148	1
CDA	5	-0.040999	-0.53386	0.55198	0.97163	0.59344	1
CDADC1	5	-0.077832	-0.52868	0.3044	0.93498	0.59703	1
CDAN1	5	0.18928	2.1691	0.034082	0.53074	0.030072	1
CDC123	5	-0.15961	-0.73626	0.051429	0.61442	0.46157	1
CDC14A	5	0.058503	0.41469	0.52852	0.96985	0.67837	1
CDC14B	5	0.017467	0.22733	0.90548	0.99801	0.82017	1
CDC16	5	-0.20514	-0.69237	0.015901	0.37533	0.48871	1
CDC20	5	-0.24115	-0.77484	0.0071166	0.27948	0.43843	1
CDC20B	5	-0.052202	-0.61329	0.46442	0.96136	0.53968	1
CDC23	5	0.052499	0.22627	0.57878	0.9733	0.82099	1
CDC25A	5	0.14051	0.80695	0.11359	0.79977	0.4197	1
CDC25B	5	-0.041555	-0.56923	0.54709	0.97149	0.5692	1
CDC25C	5	-0.047898	-0.45346	0.49722	0.96385	0.65022	1
CDC26	5	0.087061	0.35621	0.33037	0.9426	0.72168	1
CDC27	5	0.019006	0.056441	0.8893	0.99778	0.95499	1
CDC34	5	0.18715	1.3133	0.036862	0.54748	0.18907	1
CDC37	5	-0.10124	-0.63021	0.19465	0.87659	0.52856	1
CDC37L1	5	0.048986	0.37814	0.61092	0.97519	0.70533	1
CDC40	5	-0.18781	-0.62764	0.025409	0.47222	0.53024	1
CDC42	5	0.28498	2.4484	0.0023907	0.15468	0.01435	1
CDC42BPA	5	-0.14438	-1.1606	0.075392	0.70988	0.24582	1
CDC42BPB	5	0.097112	1.1043	0.2761	0.92888	0.26946	1
CDC42BPG	5	0.017481	0.1968	0.90532	0.99801	0.84399	1
CDC42EP1	5	-0.052297	-0.87121	0.46369	0.96136	0.38364	1
CDC42EP2	5	0.085676	1.2591	0.33865	0.94569	0.208	1
CDC42EP3	5	0.09738	1.0385	0.27494	0.92888	0.29905	1
CDC42EP4	5	0.088777	1.1202	0.32075	0.94096	0.26262	1
CDC42EP5	5	-0.014193	-0.25791	0.7905	0.99126	0.79648	1
CDC42SE1	5	0.16785	1.1579	0.058546	0.6484	0.24691	1
CDC42SE2	5	0.097719	1.2179	0.27332	0.92888	0.22328	1
CDC45	5	-0.1111	-0.32154	0.16113	0.85462	0.7478	1
CDC5L	5	-0.50604	-1.3142	5.5599e-05	0.020833	0.18877	1
CDC6	5	-0.21248	-0.70122	0.01301	0.34718	0.48316	1
CDC7	5	0.0458	0.15347	0.638	0.9785	0.87802	1
CDC73	5	-0.14883	-0.38308	0.067497	0.68743	0.70166	1
CDCA2	5	-0.079817	-1.002	0.29317	0.93036	0.31634	1
CDCA3	5	0.031561	0.10898	0.76904	0.98934	0.91322	1
CDCA4	5	-0.0011419	-0.012795	0.91377	0.99801	0.98979	1
CDCA5	5	0.0050902	0.044691	0.9722	0.99927	0.96435	1
CDCA7	5	0.024751	0.24745	0.83393	0.99234	0.80456	1
CDCA7L	5	0.021973	0.23396	0.86067	0.99354	0.81501	1
CDCA8	5	-0.10096	-0.58925	0.19549	0.87659	0.55569	1
CDCP1	5	0.12691	1.4716	0.15317	0.84896	0.14114	1
CDCP2	5	-0.0017609	-0.013504	0.90804	0.99801	0.98923	1
CDH1	5	0.20061	2.017	0.025798	0.47299	0.04369	1
CDH10	5	0.061237	0.73329	0.50589	0.9675	0.46338	1
CDH11	5	0.033229	0.39402	0.7532	0.98752	0.69357	1
CDH12	4	0.078098	1.0325	0.4444	0.95903	0.30183	1
CDH13	5	0.19209	1.9881	0.031969	0.51647	0.046801	1
CDH15	5	-0.00614	-0.02123	0.86295	0.99354	0.98306	1
CDH16	5	0.10723	1.3993	0.22657	0.90199	0.16172	1
CDH17	5	0.10612	1.0205	0.23157	0.90721	0.30751	1
CDH18	5	0.061997	0.87251	0.49961	0.96447	0.38293	1
CDH19	5	0.16188	1.4987	0.068331	0.68967	0.13394	1
CDH2	5	0.016717	0.15131	0.91343	0.99801	0.87973	1
CDH20	5	-0.048806	-0.53911	0.49038	0.96371	0.58981	1
CDH22	5	0.055453	0.87463	0.55393	0.97163	0.38177	1
CDH23	5	-0.00036528	-0.0046118	0.92033	0.99843	0.99632	1
CDH24	5	-0.027098	-0.25233	0.67286	0.98282	0.80079	1
CDH26	5	-0.09644	-0.96877	0.21511	0.89618	0.33266	1
CDH3	5	0.022627	0.26294	0.854	0.99322	0.7926	1
CDH4	5	-0.042312	-0.78072	0.5412	0.97091	0.43497	1
CDH5	5	0.094892	1.0756	0.28767	0.93036	0.28212	1
CDH6	5	0.0087345	0.097895	0.99361	0.99944	0.92202	1
CDH7	5	0.0094327	0.15013	0.98688	0.99927	0.88067	1
CDH8	5	-0.017189	-0.23349	0.76093	0.98793	0.81538	1
CDH9	5	0.015602	0.21902	0.92422	0.99848	0.82663	1
CDHR1	5	0.0013271	0.01314	0.9369	0.99848	0.98952	1
CDHR2	5	-0.086366	-1.1298	0.26065	0.92138	0.25854	1
CDHR3	5	0.15038	1.6775	0.089848	0.75303	0.093449	1
CDHR4	5	0.020962	0.29914	0.87073	0.99442	0.76483	1
CDHR5	5	-0.0090776	-0.11877	0.83509	0.99234	0.90546	1
CDIP1	5	0.067973	1.0982	0.45541	0.96038	0.2721	1
CDIPT	5	0.087295	0.39839	0.32898	0.9426	0.69034	1
CDK1	5	-0.10965	-0.30565	0.16574	0.85903	0.75987	1
CDK10	5	0.056367	0.62542	0.54542	0.97091	0.5317	1
CDK11A	5	0.010781	0.075896	0.97426	0.99927	0.9395	1
CDK12	5	-0.023803	-0.18018	0.70316	0.98344	0.85701	1
CDK13	5	0.072434	0.88342	0.42416	0.95903	0.37701	1
CDK14	5	-0.036601	-0.45534	0.58824	0.9733	0.64887	1
CDK15	5	-0.040714	-0.43509	0.55382	0.97163	0.6635	1
CDK16	5	-0.0366	-0.52771	0.58824	0.9733	0.5977	1
CDK17	5	-0.0534	-0.56322	0.45491	0.96033	0.57329	1
CDK18	5	0.17863	1.1716	0.045369	0.59538	0.24137	1
CDK19	5	-0.017042	-0.16958	0.76265	0.98793	0.86534	1
CDK2	5	-0.060501	-0.46587	0.40815	0.95643	0.64131	1
CDK20	5	0.020553	0.17354	0.87451	0.99488	0.86223	1
CDK2AP1	5	0.052955	0.4047	0.57472	0.9733	0.6857	1
CDK2AP2	5	-0.042102	-0.53966	0.54292	0.97091	0.58943	1
CDK3	5	-0.013718	-0.12977	0.7944	0.99126	0.89675	1
CDK4	5	0.073586	0.73794	0.41671	0.95782	0.46055	1
CDK5	5	-0.015268	-0.17521	0.77955	0.99126	0.86091	1
CDK5R1	5	0.03172	0.31867	0.76732	0.98897	0.74998	1
CDK5R2	5	0.074933	0.78777	0.40654	0.95643	0.43083	1
CDK5RAP1	5	-0.01949	-0.25012	0.74052	0.98711	0.80249	1
CDK5RAP2	5	0.050296	0.69222	0.59874	0.97484	0.4888	1
CDK5RAP3	5	0.084997	0.57156	0.3426	0.94684	0.56762	1
CDK6	5	0.072645	0.56723	0.42261	0.95903	0.57056	1
CDK7	5	-0.11982	-0.45776	0.13344	0.82936	0.64713	1
CDK8	5	-0.33182	-2.5384	0.00077838	0.089744	0.011135	1
CDK9	5	0.15104	0.51654	0.088458	0.74812	0.60547	1
CDKAL1	5	0.091058	0.94908	0.30746	0.93602	0.34258	1
CDKL1	5	0.0024353	0.019625	0.94735	0.99848	0.98434	1
CDKL2	5	0.042944	0.40167	0.66357	0.98215	0.68793	1
CDKL3	5	-0.12885	-1.2589	0.10914	0.79538	0.20805	1
CDKL4	5	-0.045565	-0.49553	0.5154	0.96796	0.62023	1
CDKL5	5	-0.023115	-0.30345	0.709	0.98405	0.76154	1
CDKN1A	5	-0.062436	-0.62285	0.39559	0.95627	0.53338	1
CDKN1B	5	0.0036982	0.044415	0.95886	0.99873	0.96457	1
CDKN1C	5	0.025654	0.35155	0.8252	0.99234	0.72518	1
CDKN2A	5	-0.022253	-0.42455	0.71667	0.98522	0.67117	1
CDKN2AIP	5	-0.031553	-0.40181	0.63255	0.97725	0.68782	1
CDKN2AIPNL	5	-0.038018	-0.4806	0.57784	0.9733	0.6308	1
CDKN2B	5	-0.017152	-0.29371	0.76159	0.98793	0.76898	1
CDKN2C	5	0.029205	0.37769	0.7915	0.99126	0.70566	1
CDKN2D	5	0.020743	0.34739	0.87285	0.99455	0.7283	1
CDKN3	5	-0.062119	-0.74963	0.39753	0.95627	0.45348	1
CDNF	5	0.055675	0.59812	0.55165	0.97163	0.54976	1
