Gene	sgRNA	NK_vs_Control|beta	NK_vs_Control|z	NK_vs_Control|p-value	NK_vs_Control|fdr	NK_vs_Control|wald-p-value	NK_vs_Control|wald-fdr
CLK1	3	0.0057789	0.067523	0.98149	0.99967	0.94617	1
CLK2	3	-0.092738	-0.82657	0.3525	0.98528	0.40848	1
CLK3	3	-0.015233	-0.12094	0.82297	0.99889	0.90374	1
CLK4	3	-0.082752	-0.74473	0.39853	0.99645	0.45644	1
CLLU1OS	3	-0.059297	-0.42408	0.52719	0.99645	0.6715	1
CLMN	3	-0.068318	-0.76026	0.47481	0.99645	0.4471	1
CLMP	3	0.057112	0.30047	0.64222	0.99645	0.76382	1
CLN3	3	-0.0020379	-0.034148	0.92194	0.99931	0.97276	1
CLN5	3	0.008584	0.08469	0.9955	0.99967	0.93251	1
CLN6	3	0.099328	0.59817	0.38852	0.99573	0.54973	1
CLN8	3	0.011727	0.11972	0.97198	0.99943	0.9047	1
CLNK	3	0.086965	0.70244	0.45452	0.99645	0.48241	1
CLNS1A	3	-0.012884	-0.029451	0.84049	0.99889	0.9765	1
CLOCK	3	-0.0070754	-0.0438	0.8848	0.99931	0.96506	1
CLP1	3	-0.55187	-1.1721	0.00033359	0.071429	0.24116	1
CLPB	3	0.1123	0.86539	0.32403	0.97726	0.38683	1
CLPP	3	0.086235	0.56801	0.4583	0.99645	0.57003	1
CLPS	3	0.019553	0.17234	0.91366	0.99931	0.86317	1
CLPSL1	3	-0.028116	-0.47045	0.7314	0.99687	0.63803	1
CLPSL2	3	-0.047357	-0.47521	0.60069	0.99645	0.63463	1
CLPTM1	3	-0.2172	-2.2993	0.053152	0.70419	0.02149	1
CLPTM1L	3	0.1863	1.7937	0.10141	0.82144	0.072868	1
CLPX	3	0.21443	1.6877	0.060825	0.73645	0.091467	1
CLRN1	3	-0.09544	-0.47929	0.3401	0.98219	0.63173	1
CLRN2	3	0.082224	0.73403	0.48132	0.99645	0.46293	1
CLRN3	3	-0.043301	-0.37363	0.62599	0.99645	0.70868	1
CLSPN	3	-0.18025	-1.02	0.095908	0.80872	0.3077	1
CLSTN1	3	0.041598	0.6403	0.74886	0.99796	0.52198	1
CLSTN2	3	0.044661	0.42315	0.72818	0.99687	0.67218	1
CLSTN3	3	0.035985	0.46489	0.79406	0.99889	0.64201	1
CLTA	3	0.30418	1.4612	0.012788	0.42831	0.14396	1
CLTB	3	-0.069526	-0.86317	0.46836	0.99645	0.38804	1
CLTC	3	-0.12197	-0.28408	0.23518	0.95485	0.77635	1
CLTCL1	3	0.11314	0.51436	0.3203	0.97726	0.607	1
CLU	3	0.12346	1.2726	0.27577	0.96653	0.20318	1
CLUAP1	3	0.037597	0.24314	0.78194	0.99889	0.8079	1
CLUH	3	0.028158	0.30465	0.84866	0.99889	0.76063	1
CLUL1	3	0.052242	0.59013	0.67575	0.99645	0.55511	1
CLVS1	3	-0.039705	-0.28198	0.6514	0.99645	0.77796	1
CLVS2	3	-0.10125	-1.0616	0.31474	0.97726	0.28843	1
CLYBL	3	0.084707	0.95357	0.46731	0.99645	0.3403	1
CMA1	3	-0.1057	-1.2051	0.29523	0.97526	0.22816	1
CMAS	3	-0.37294	-1.5428	0.0033915	0.22932	0.12288	1
CMBL	3	-0.064476	-0.78289	0.49611	0.99645	0.43369	1
CMC1	3	0.11206	0.52893	0.3252	0.97729	0.59685	1
CMC2	3	0.061154	0.29622	0.61731	0.99645	0.76706	1
CMC4	3	0.00041658	0.0057779	0.93867	0.99931	0.99539	1
CMIP	3	0.29508	1.3569	0.014511	0.44539	0.1748	1
CMKLR1	3	-0.11064	-1.2124	0.27527	0.96653	0.22535	1
CMPK1	3	-0.14022	-0.3827	0.17764	0.91165	0.70194	1
CMPK2	3	0.025525	0.29838	0.86784	0.99931	0.76542	1
CMSS1	3	-0.073999	-0.47342	0.44379	0.99645	0.63592	1
CMTM1	3	0.1001	0.40791	0.38402	0.99339	0.68334	1
CMTM2	3	-0.017568	-0.14182	0.80752	0.99889	0.88722	1
CMTM3	3	0.20761	1.8452	0.06961	0.75413	0.065002	1
CMTM4	3	0.23358	2.1521	0.042755	0.65169	0.031387	1
CMTM5	3	0.01454	0.15673	0.95063	0.99931	0.87546	1
CMTM6	3	0.97069	2.0245	0	0	0.042923	1
CMTM7	3	-0.15731	-1.5855	0.13889	0.87772	0.11285	1
CMTM8	3	0.15316	1.3137	0.17686	0.91165	0.18894	1
CMTR1	3	-0.053378	-0.23563	0.56249	0.99645	0.81372	1
CMTR2	3	-0.074684	-0.63878	0.44101	0.99645	0.52296	1
CMYA5	3	-0.11263	-1.0681	0.2671	0.96152	0.28547	1
CNBD1	3	0.060666	0.34943	0.62054	0.99645	0.72677	1
CNBD2	3	0.061888	0.6836	0.61203	0.99645	0.49423	1
CNBP	3	-0.10039	-0.89261	0.31841	0.97726	0.37207	1
CNDP1	3	-0.070215	-0.66737	0.46475	0.99645	0.50454	1
CNDP2	3	-0.030374	-0.33743	0.71606	0.99645	0.73579	1
CNEP1R1	3	0.060053	0.42572	0.62387	0.99645	0.67031	1
CNFN	3	0.0061984	0.063055	0.98499	0.99967	0.94972	1
CNGA1	3	-0.18282	-0.94189	0.091905	0.80228	0.34625	1
CNGA2	3	-0.022911	-0.34485	0.77021	0.99842	0.73021	1
CNGA3	3	-0.053308	-0.36218	0.56283	0.99645	0.71721	1
CNGA4	3	-0.039384	-0.5504	0.65356	0.99645	0.58205	1
CNGB1	3	0.13417	1.235	0.23663	0.95658	0.21685	1
CNGB3	3	-0.088412	-1.2898	0.37151	0.99038	0.19711	1
CNIH1	3	-0.089258	-0.67985	0.36784	0.98853	0.4966	1
CNIH2	3	0.13724	1.262	0.22562	0.94306	0.20694	1
CNIH3	3	-0.029458	-0.25168	0.72212	0.99687	0.80129	1
CNIH4	3	-0.12215	-0.75106	0.23463	0.95436	0.45262	1
CNKSR1	3	0.1477	1.4934	0.19204	0.91506	0.13534	1
CNKSR2	3	-0.17247	-1.6307	0.10792	0.82633	0.10295	1
CNKSR3	3	-0.10184	-0.84648	0.31291	0.97726	0.39729	1
CNN1	3	-0.021001	-0.19191	0.78394	0.99889	0.84781	1
CNN2	3	-0.036873	-0.22207	0.67086	0.99645	0.82426	1
CNN3	3	0.021652	0.12449	0.89848	0.99931	0.90093	1
CNNM1	3	0.15088	1.5722	0.18309	0.91165	0.11591	1
CNNM2	3	-0.1078	-1.1028	0.2865	0.97048	0.27013	1
CNNM3	3	0.14723	1.2964	0.19287	0.91506	0.19483	1
CNNM4	3	0.11685	1.0176	0.3054	0.97726	0.30884	1
CNOT1	3	0.25678	1.7277	0.029078	0.59142	0.084049	1
CNOT10	3	-0.12745	-1.2991	0.21578	0.94108	0.19391	1
CNOT11	3	0.083018	0.71683	0.47687	0.99645	0.47348	1
CNOT2	3	-0.085242	-0.92418	0.3858	0.99455	0.35539	1
CNOT3	3	-0.022426	-0.072233	0.77355	0.99878	0.94242	1
CNOT4	3	0.02177	0.15389	0.89736	0.99931	0.8777	1
CNOT6	3	0.25269	1.4718	0.030857	0.59657	0.14108	1
CNOT6L	3	-0.074469	-0.55048	0.44173	0.99645	0.58199	1
CNOT7	3	-0.14964	-0.70171	0.15518	0.89711	0.48286	1
CNOT8	3	-0.14116	-1.4165	0.1753	0.91154	0.15662	1
CNP	3	-0.0016806	-0.013358	0.92394	0.99931	0.98934	1
CNPPD1	3	-0.049853	-0.52159	0.58507	0.99645	0.60196	1
CNPY1	2	-0.1191	-0.83284	0.33348	0.97991	0.40494	1
CNPY2	3	-0.040032	-0.2548	0.6485	0.99645	0.79888	1
CNPY3	3	-0.12366	-0.84119	0.22918	0.94698	0.40024	1
CNPY4	3	0.060432	0.35334	0.62143	0.99645	0.72383	1
CNR1	3	0.13097	1.3036	0.24769	0.95812	0.19236	1
CNR2	3	-0.055819	-0.98902	0.54787	0.99645	0.32265	1
CNRIP1	3	-0.068794	-0.51612	0.47187	0.99645	0.60577	1
CNST	3	0.094274	1.0437	0.41638	0.99645	0.29665	1
CNTD1	3	0.028406	0.30482	0.84694	0.99889	0.76051	1
CNTD2	3	0.072489	0.75895	0.54292	0.99645	0.44788	1
CNTF	3	-0.065632	-0.56408	0.48916	0.99645	0.5727	1
CNTFR	3	0.12245	0.85447	0.28033	0.96795	0.39285	1
CNTLN	3	0.090155	0.55112	0.43801	0.99645	0.58155	1
CNTN1	3	0.16403	0.87393	0.14873	0.88782	0.38216	1
CNTN2	3	0.085295	0.98805	0.46397	0.99645	0.32313	1
CNTN3	3	-0.002193	-0.02105	0.92033	0.99931	0.98321	1
CNTN4	3	0.0011402	0.0085088	0.94512	0.99931	0.99321	1
CNTN5	3	0.33864	0.90776	0.0067831	0.33598	0.36401	1
CNTN6	3	0.091482	0.42182	0.43156	0.99645	0.67316	1
CNTNAP1	3	0.013743	0.13887	0.95652	0.99931	0.88955	1
CNTNAP2	3	0.052165	0.5205	0.6763	0.99645	0.60271	1
CNTNAP3	3	0.12446	0.73737	0.27121	0.96537	0.4609	1
CNTNAP3B	3	-0.060838	-0.2673	0.51785	0.99645	0.78924	1
CNTNAP4	3	-0.030109	-0.38589	0.71761	0.99645	0.69958	1
CNTNAP5	3	0.0097703	0.13527	0.98593	0.99967	0.8924	1
CNTRL	3	0.026048	0.27857	0.86384	0.99931	0.78058	1
CNTROB	3	-0.091146	-1.2136	0.36006	0.98528	0.22489	1
COA1	3	-0.17221	-1.5242	0.10836	0.82725	0.12747	1
COA3	3	0.08948	0.4939	0.44145	0.99645	0.62138	1
COA4	3	0.16529	2.4038	0.14589	0.88509	0.016225	1
COA5	3	0.16252	0.48413	0.1529	0.89409	0.6283	1
COA6	3	-0.098572	-0.24864	0.32536	0.97729	0.80364	1
COASY	3	-0.27077	-0.83787	0.020294	0.51627	0.40211	1
COBL	3	0.081745	0.79074	0.48465	0.99645	0.4291	1
COBLL1	3	-0.050329	-0.45192	0.58234	0.99645	0.65133	1
COCH	3	0.078738	0.62863	0.50361	0.99645	0.52959	1
COG1	3	-0.24752	-2.0662	0.030746	0.59657	0.038811	1
COG2	3	0.028011	0.082675	0.84961	0.99895	0.93411	1
COG3	3	-0.16018	-0.96941	0.13244	0.86293	0.33234	1
COG4	3	-0.047026	-0.28192	0.60275	0.99645	0.778	1
COG5	3	-0.041739	-0.28688	0.63738	0.99645	0.7742	1
COG6	3	-0.17188	-1.1297	0.10981	0.83523	0.25859	1
COG7	3	-0.13914	-0.83385	0.18103	0.91165	0.40436	1
COG8	3	-0.10243	-0.9141	0.31002	0.97726	0.36066	1
COIL	3	0.01919	0.14563	0.91666	0.99931	0.88421	1
COL10A1	3	0.10787	0.85464	0.34405	0.983	0.39275	1
COL11A1	3	-0.016045	-0.17933	0.81758	0.99889	0.85768	1
COL11A2	3	-0.078479	-0.53636	0.42105	0.99645	0.59171	1
COL12A1	3	-0.12699	-1.2585	0.21778	0.94112	0.20821	1
COL13A1	3	0.10344	1.1792	0.36656	0.98772	0.23833	1
COL14A1	3	-0.10927	-1.1693	0.28022	0.96795	0.24227	1
COL15A1	3	-0.065254	-0.69739	0.49166	0.99645	0.48556	1
COL16A1	3	0.024043	0.23892	0.8793	0.99931	0.81116	1
COL17A1	3	0.073127	0.76445	0.53903	0.99645	0.4446	1
COL18A1	3	0.17966	2.034	0.11431	0.84044	0.041954	1
COL19A1	3	-0.16535	-1.3625	0.12204	0.84815	0.17305	1
COL1A1	3	-0.12485	-1.0556	0.22456	0.94215	0.29115	1
COL1A2	3	-0.0062816	-0.066508	0.89086	0.99931	0.94697	1
COL20A1	3	0.12351	0.62122	0.27555	0.96653	0.53446	1
COL21A1	3	0.022039	0.20865	0.89464	0.99931	0.83472	1
COL22A1	3	0.014956	0.18108	0.94757	0.99931	0.8563	1
COL23A1	3	-0.08593	-1.1537	0.38246	0.99308	0.24863	1
COL24A1	3	0.13226	1.0172	0.2438	0.95812	0.30907	1
COL25A1	3	-0.0030438	-0.026453	0.91477	0.99931	0.9789	1
COL26A1	3	-0.06511	-0.69923	0.49255	0.99645	0.48441	1
COL27A1	3	0.085056	0.76151	0.46503	0.99645	0.44635	1
COL28A1	3	-0.062608	-0.56677	0.50745	0.99645	0.57087	1
COL2A1	3	0.062161	0.67805	0.61014	0.99645	0.49774	1
COL3A1	3	-0.0064758	-0.052883	0.88941	0.99931	0.95783	1
COL4A1	3	0.044899	0.43373	0.72629	0.99687	0.66448	1
COL4A2	3	0.072665	0.89059	0.54187	0.99645	0.37315	1
COL4A3	3	-0.11568	-1.1558	0.25692	0.95875	0.24776	1
COL4A3BP	3	0.1066	0.84504	0.35144	0.98528	0.39809	1
COL4A4	3	-0.11614	-1.0816	0.25537	0.95814	0.27944	1
COL4A5	3	-0.05414	-0.71842	0.55821	0.99645	0.4725	1
COL4A6	3	-0.072804	-1.0385	0.44968	0.99645	0.29904	1
COL5A1	3	0.0057076	0.081813	0.98093	0.99967	0.9348	1
COL5A2	3	-0.071892	-0.758	0.4548	0.99645	0.44845	1
COL5A3	3	0.22389	1.4548	0.050206	0.69495	0.14573	1
COL6A1	3	-0.024546	-0.29563	0.75831	0.99796	0.76751	1
COL6A2	3	-0.13204	-1.7388	0.20105	0.93078	0.08207	1
COL6A3	3	0.082761	0.96925	0.47821	0.99645	0.33242	1
COL6A6	3	-0.089366	-0.70157	0.36706	0.98819	0.48295	1
COL7A1	3	-0.027999	-0.22528	0.73263	0.99687	0.82176	1
COL8A1	3	0.056487	0.6593	0.64695	0.99645	0.50971	1
COL8A2	3	-0.082664	-0.67614	0.39925	0.99645	0.49895	1
COL9A1	3	0.0071205	0.060046	0.99266	0.99967	0.95212	1
COL9A2	3	0.011048	0.10316	0.97709	0.99967	0.91784	1
COL9A3	3	-0.017545	-0.21714	0.80774	0.99889	0.8281	1
COLCA2	3	0.026985	0.37385	0.85622	0.99916	0.70851	1
COLEC10	3	-0.0092711	-0.10503	0.86862	0.99931	0.91635	1
COLEC11	3	0.047732	0.42733	0.70661	0.99645	0.66914	1
COLEC12	3	0.020204	0.13457	0.90982	0.99931	0.89296	1
COLGALT1	3	0.22573	1.9831	0.049038	0.68906	0.047357	1
COLGALT2	3	0.15204	1.2611	0.18042	0.91165	0.20726	1
COLQ	3	-0.002365	-0.029766	0.91899	0.99931	0.97625	1
COMMD1	3	-0.21492	-1.6782	0.054987	0.70765	0.093317	1
COMMD10	3	0.026593	0.076265	0.85967	0.99931	0.93921	1
COMMD2	3	0.17383	1.4411	0.12632	0.85687	0.14956	1
COMMD3	3	0.20026	0.9313	0.07895	0.77644	0.3517	1
COMMD4	3	0.13177	1.3084	0.24541	0.95812	0.19075	1
COMMD5	3	0.016972	0.16006	0.93395	0.99931	0.87283	1
COMMD6	3	-0.077524	-0.54461	0.425	0.99645	0.58602	1
COMMD7	3	0.069222	0.86582	0.56411	0.99645	0.38659	1
COMMD8	3	-0.16013	-1.0607	0.13266	0.86293	0.28881	1
COMMD9	3	0.038153	0.29871	0.7766	0.99889	0.76516	1
COMP	3	0.062052	0.64314	0.61075	0.99645	0.52013	1
COMT	3	-0.32894	-1.2648	0.0073946	0.34545	0.20596	1
COMTD1	3	0.046621	0.45222	0.7145	0.99645	0.65111	1
COPA	3	-0.10554	-0.39681	0.29584	0.97526	0.69151	1
COPB1	3	-0.28602	-0.95743	0.016012	0.46906	0.33835	1
COPB2	3	-0.052731	-0.080109	0.56583	0.99645	0.93615	1
COPE	3	-0.11124	-0.49932	0.27299	0.9658	0.61756	1
COPG1	3	-0.0055545	-0.056776	0.89664	0.99931	0.95472	1
COPRS	3	-0.014171	-0.12147	0.83048	0.99889	0.90332	1
COPS2	3	0.54723	1.1673	0.00038919	0.075269	0.24311	1
COPS3	3	0.086491	0.12108	0.45702	0.99645	0.90363	1
COPS4	3	-0.011758	-0.053057	0.84927	0.99889	0.95769	1
COPS5	3	0.70235	1.1318	5.5599e-05	0.026316	0.2577	1
COPS6	3	-0.051339	-0.36558	0.57461	0.99645	0.71468	1
COPS7A	3	-0.080344	-0.89342	0.41121	0.99645	0.37163	1
COPS7B	3	-0.047021	-0.42875	0.60297	0.99645	0.66811	1
COPS8	3	0.14396	0.72455	0.20449	0.93567	0.46873	1
COPZ1	3	-0.072935	-0.17863	0.44879	0.99645	0.85823	1
COQ10A	3	0.22079	2.2096	0.052874	0.70354	0.027135	1
COQ10B	3	0.013401	0.088545	0.95947	0.99931	0.92944	1
COQ2	3	-0.10893	-0.75156	0.28172	0.96967	0.45231	1
COQ3	3	0.16731	1.3464	0.14061	0.88035	0.17817	1
COQ4	3	-0.073505	-0.5319	0.44601	0.99645	0.5948	1
COQ5	3	0.065748	0.18793	0.5869	0.99645	0.85093	1
COQ6	3	0.076387	0.55293	0.51896	0.99645	0.58031	1
COQ7	3	-0.11011	-0.88874	0.27733	0.96705	0.37414	1
COQ9	3	-0.14206	-1.759	0.17269	0.91154	0.078574	1
CORIN	3	0.03874	0.40581	0.77171	0.99871	0.68488	1
CORO1A	3	0.038144	0.38151	0.77672	0.99889	0.70282	1
CORO1B	3	0.058808	0.45718	0.6316	0.99645	0.64754	1
CORO1C	3	-0.1649	-1.8656	0.12282	0.85257	0.062104	1
CORO2A	3	0.075171	0.69487	0.52652	0.99645	0.48714	1
CORO2B	3	-0.010181	-0.10743	0.86184	0.99931	0.91444	1
CORO6	3	-0.14472	-1.5273	0.16602	0.90354	0.12668	1
CORO7	3	0.15809	2.3443	0.16329	0.9012	0.019063	1
CORT	3	-0.097914	-0.78734	0.32809	0.97747	0.43108	1
COTL1	3	0.015524	0.17428	0.94373	0.99931	0.86165	1
COX10	3	-0.12757	-0.42622	0.2155	0.94078	0.66995	1
COX11	3	-0.173	-0.60716	0.10736	0.82633	0.54374	1
COX14	2	0.13581	0.76085	0.32381	0.97726	0.44674	1
COX15	3	0.22036	0.65176	0.053041	0.70354	0.51456	1
COX16	3	-0.12236	-0.49007	0.23368	0.95393	0.62408	1
COX17	3	-0.50244	-1.2883	0.00044479	0.076923	0.19762	1
COX18	3	0.16847	0.5733	0.13794	0.87513	0.56644	1
COX19	2	0.15371	0.7125	0.26332	0.96152	0.47616	1
COX20	3	0.074694	0.31604	0.52963	0.99645	0.75197	1
COX4I1	3	0.0018845	0.012415	0.95113	0.99931	0.99009	1
COX4I2	3	-0.03587	-0.47061	0.67847	0.99645	0.63792	1
COX5A	3	-0.13233	-0.72935	0.20004	0.929	0.46578	1
COX5B	3	-0.10452	-0.29242	0.30051	0.97726	0.76996	1
COX6A1	3	-0.12826	-0.90603	0.21339	0.94075	0.36492	1
COX6A2	3	-0.00074098	-0.0064	0.93033	0.99931	0.99489	1
COX6B1	3	0.19525	0.66735	0.086401	0.79165	0.50455	1
COX6B2	3	0.061522	0.61175	0.61503	0.99645	0.5407	1
COX6C	3	0.2965	0.95897	0.014456	0.44539	0.33757	1
COX7A1	3	0.015077	0.14349	0.94679	0.99931	0.8859	1
COX7A2	3	0.0095975	0.074034	0.98743	0.99967	0.94098	1
COX7A2L	3	-0.092596	-1.0536	0.35333	0.98528	0.29205	1
COX7B	3	-0.15098	-0.30361	0.15173	0.89099	0.76142	1
COX7B2	3	-0.05307	-0.5924	0.56405	0.99645	0.55358	1
COX7C	2	-0.13108	-0.34064	0.29406	0.97441	0.73338	1
COX8A	3	-0.10038	-0.58326	0.31841	0.97726	0.55972	1
COX8C	3	0.051802	0.61923	0.67908	0.99645	0.53576	1
CP	3	-0.0051784	-0.026159	0.8997	0.99931	0.97913	1
CPA1	3	0.015056	0.10949	0.94696	0.99931	0.91282	1
CPA2	3	0.16891	1.3167	0.13716	0.87425	0.18793	1
CPA3	3	-0.0054279	-0.051689	0.8977	0.99931	0.95878	1
CPA4	3	-0.071419	-0.70481	0.45774	0.99645	0.48093	1
CPA5	3	-0.15568	-1.2706	0.1425	0.88322	0.20389	1
CPA6	3	-0.055128	-0.25519	0.55165	0.99645	0.79858	1
CPAMD8	3	0.02301	0.12292	0.88741	0.99931	0.90217	1
CPB1	3	0.046627	0.38599	0.71439	0.99645	0.69951	1
CPB2	3	-0.31404	-0.97777	0.0094518	0.37445	0.32819	1
CPD	3	-0.010496	-0.084846	0.85883	0.99931	0.93238	1
CPE	3	0.046831	0.32652	0.71305	0.99645	0.74403	1
CPEB1	3	-0.2841	-1.8147	0.01668	0.47778	0.069573	1
CPEB2	3	0.076694	1.1333	0.51674	0.99645	0.25707	1
CPEB3	3	0.22723	2.1264	0.047926	0.68358	0.03347	1
CPEB4	3	-0.16572	-1.1798	0.12109	0.84592	0.23808	1
CPED1	3	0.075905	0.68168	0.5223	0.99645	0.49544	1
CPLX1	3	0.1082	0.86836	0.34277	0.983	0.3852	1
CPLX2	3	-0.021136	-0.20453	0.78294	0.99889	0.83794	1
CPLX3	3	0.069064	0.49583	0.56488	0.99645	0.62002	1
CPLX4	3	-0.037245	-0.34452	0.66746	0.99645	0.73045	1
CPM	3	0.034304	0.30768	0.80563	0.99889	0.75832	1
CPN1	3	0.027055	0.26728	0.85611	0.99916	0.78926	1
CPN2	3	-0.1188	-0.80374	0.24647	0.95812	0.42155	1
CPNE1	3	-0.33987	-2.5141	0.0067275	0.33518	0.011935	1
CPNE2	3	0.032879	0.48781	0.81647	0.99889	0.62569	1
CPNE3	3	0.069932	0.85314	0.55921	0.99645	0.39358	1
CPNE4	3	-0.040498	-0.35147	0.64622	0.99645	0.72523	1
CPNE5	3	-0.067518	-0.50704	0.47937	0.99645	0.61213	1
CPNE6	3	0.022089	0.13942	0.89436	0.99931	0.88912	1
CPNE7	3	0.062202	0.54552	0.60986	0.99645	0.58539	1
CPNE8	3	0.00074669	0.0066452	0.94218	0.99931	0.9947	1
CPNE9	3	0.012588	0.16206	0.96581	0.99931	0.87126	1
CPO	3	-0.0015024	-0.011271	0.92494	0.99931	0.99101	1
CPOX	3	0.034327	0.31381	0.80557	0.99889	0.75366	1
CPPED1	3	0.0013523	0.017069	0.94696	0.99931	0.98638	1
CPQ	3	-0.0035364	-0.054283	0.91104	0.99931	0.95671	1
CPS1	3	-0.057702	-0.68133	0.53647	0.99645	0.49566	1
CPSF1	3	0.23081	1.1317	0.045091	0.66667	0.25777	1
CPSF2	3	0.4246	0.79619	0.0017236	0.1623	0.42592	1
CPSF3	3	0.0032326	0.0074987	0.96086	0.99931	0.99402	1
CPSF3L	3	-0.48168	-1.7815	0.00055599	0.076923	0.074831	1
CPSF4	3	0.35148	0.94688	0.0050595	0.28	0.3437	1
CPSF4L	3	0.066622	0.69092	0.58145	0.99645	0.48962	1
CPSF6	3	0.044609	0.098669	0.72834	0.99687	0.9214	1
CPSF7	3	0.044096	0.31004	0.73174	0.99687	0.75653	1
CPT1A	3	-0.05628	-0.48581	0.54437	0.99645	0.6271	1
CPT1B	3	0.0098698	0.099079	0.9851	0.99967	0.92108	1
CPT1C	3	-0.19032	-2.1825	0.080118	0.78061	0.029069	1
CPT2	3	0.099434	0.90923	0.38775	0.99529	0.36323	1
CPVL	3	-0.084956	-0.61141	0.38713	0.995	0.54093	1
CPXCR1	3	0.090927	0.69914	0.43434	0.99645	0.48446	1
CPXM1	3	-0.018293	-0.18535	0.80274	0.99889	0.85296	1
CPXM2	3	-0.046292	-0.54474	0.60725	0.99645	0.58593	1
CPZ	3	0.095216	0.88131	0.41132	0.99645	0.37815	1
CR1	3	-0.098789	-0.97127	0.32447	0.97726	0.33141	1
CR1L	3	-0.067488	-0.80275	0.47948	0.99645	0.42212	1
CR2	3	0.0016853	0.011041	0.94968	0.99931	0.99119	1
CRABP1	3	0.11989	0.99682	0.29173	0.97244	0.31885	1
CRABP2	3	0.035846	0.33058	0.79478	0.99889	0.74096	1
CRADD	3	0.083601	0.74375	0.47342	0.99645	0.45703	1
CRAMP1L	3	0.046032	0.19772	0.71878	0.99687	0.84327	1
CRAT	3	0.012472	0.16347	0.96664	0.99931	0.87015	1
CRB1	3	-0.023556	-0.25076	0.76526	0.99842	0.802	1
CRB2	3	-0.059661	-0.82813	0.52541	0.99645	0.4076	1
CRB3	3	0.0056502	0.058637	0.98021	0.99967	0.95324	1
CRBN	3	0.026373	0.13574	0.86156	0.99931	0.89203	1
CRCP	3	0.08878	0.40187	0.44557	0.99645	0.68778	1
CRCT1	3	-0.037403	-0.28492	0.66624	0.99645	0.77571	1
CREB1	3	0.048827	0.46111	0.6981	0.99645	0.64472	1
CREB3	3	-0.11719	-1.3231	0.25197	0.95812	0.18582	1
CREB3L1	3	0.057465	0.5359	0.64011	0.99645	0.59203	1
CREB3L2	3	-0.033942	-0.29641	0.69104	0.99645	0.76692	1
CREB3L3	3	0.017207	0.19682	0.93195	0.99931	0.84397	1
CREB3L4	3	-0.053715	-0.74599	0.56055	0.99645	0.45567	1
CREB5	3	0.017095	0.19524	0.93273	0.99931	0.84521	1
CREBBP	3	-0.21885	-1.9186	0.051151	0.69879	0.055035	1
CREBL2	3	-0.18312	-1.8991	0.091571	0.80228	0.057546	1
CREBRF	3	0.067507	0.47983	0.57534	0.99645	0.63135	1
CREBZF	3	-0.020276	-0.12183	0.78895	0.99889	0.90303	1
CREG1	3	0.0046918	0.076813	0.97226	0.99943	0.93877	1
CREG2	3	0.065688	0.54476	0.58729	0.99645	0.58592	1
CRELD1	3	0.065402	0.68427	0.58901	0.99645	0.49381	1
CRELD2	3	-0.054124	-0.70316	0.55843	0.99645	0.48196	1
CREM	3	0.062889	0.43963	0.6053	0.99645	0.66021	1
CRH	3	0.047495	0.52183	0.70822	0.99645	0.60179	1
CRHBP	3	-0.062656	-0.67842	0.50689	0.99645	0.4975	1
CRHR1	3	0.051679	0.54363	0.68031	0.99645	0.58669	1
CRHR2	3	-0.035153	-0.45209	0.68403	0.99645	0.6512	1
CRIM1	3	0.074011	0.56279	0.53353	0.99645	0.57358	1
CRIP1	3	0.0092856	0.11041	0.98988	0.99967	0.91208	1
CRIP2	3	0.068026	1.0944	0.57183	0.99645	0.27377	1
CRIP3	3	0.15138	1.0009	0.1822	0.91165	0.31687	1
CRIPAK	3	-0.032265	-0.41408	0.7026	0.99645	0.67882	1
CRIPT	3	0.14759	0.65253	0.19232	0.91506	0.51406	1
CRISP1	3	0.025667	0.19313	0.86651	0.99931	0.84686	1
CRISP2	3	-0.04696	-0.43397	0.60297	0.99645	0.66431	1
CRISP3	3	0.046653	0.33085	0.71422	0.99645	0.74076	1
CRISPLD1	3	0.1532	0.9558	0.17686	0.91165	0.33917	1
CRISPLD2	3	-0.08673	-0.63112	0.37946	0.99258	0.52796	1
CRK	3	0.039393	0.57225	0.76687	0.99842	0.56715	1
CRKL	3	0.16765	0.50525	0.14011	0.88035	0.61338	1
CRLF1	3	0.15621	1.0003	0.16846	0.90537	0.31714	1
CRLF3	3	-0.13897	-0.89033	0.18136	0.91165	0.37329	1
CRLS1	3	-0.20395	-0.54694	0.065329	0.74644	0.58442	1
CRMP1	3	-0.042332	-0.53896	0.63355	0.99645	0.58991	1
CRNKL1	3	0.25003	0.46858	0.032081	0.6023	0.63937	1
CRNN	3	-0.024935	-0.20459	0.75548	0.99796	0.83789	1
CROCC	3	0.20004	1.7983	0.079395	0.77693	0.072129	1
CROT	3	0.16467	0.6455	0.14756	0.88589	0.5186	1
CRP	3	0.014613	0.08825	0.95007	0.99931	0.92968	1
CRTAC1	3	-0.098165	-0.89736	0.32692	0.97746	0.36953	1
CRTAM	3	0.13295	1.3507	0.2413	0.95812	0.17679	1
CRTAP	3	-0.0095836	-0.058373	0.86645	0.99931	0.95345	1
CRTC1	3	0.023364	0.28541	0.88424	0.99931	0.77533	1
CRTC2	3	0.064266	0.77644	0.59685	0.99645	0.43749	1
CRTC3	3	-0.078023	-0.77539	0.42311	0.99645	0.43811	1
CRX	3	-0.15984	-1.9723	0.13327	0.86499	0.048572	1
