Gene	beta	fdr	dataset	hit
BNIP3L	0.24865	0.61026	top3	NOT
BNIPL	0.024532	0.99931	top3	NOT
BOC	-0.0070217	0.99931	top3	NOT
BOD1	-0.034434	0.99645	top3	NOT
BOD1L1	0.019363	0.99931	top3	NOT
BOD1L2	-0.068265	0.99645	top3	NOT
BOK	0.083936	0.99645	top3	NOT
BOLA1	-0.0011231	0.99931	top3	NOT
BOLA3	-0.0019591	0.99931	top3	NOT
BOLL	0.17759	0.84394	top3	NOT
BOP1	-0.054484	0.99645	top3	NOT
BORA	0.020666	0.99931	top3	NOT
BPGM	0.096775	0.99645	top3	NOT
BPHL	0.015004	0.99931	top3	NOT
BPI	-0.17679	0.82144	top3	NOT
BPIFA1	0.0017863	0.99931	top3	NOT
BPIFA2	-0.03171	0.99645	top3	NOT
BPIFA3	-0.24181	0.61515	top3	NOT
BPIFB1	-0.016044	0.99889	top3	NOT
BPIFB2	0.19066	0.80228	top3	NOT
BPIFB3	0.033605	0.99889	top3	NOT
BPIFB4	0.077156	0.99645	top3	NOT
BPIFB6	-0.037207	0.99645	top3	NOT
BPIFC	0.056863	0.99645	top3	NOT
BPNT1	0.036773	0.99889	top3	NOT
BPTF	0.35639	0.26032	top3	NOT
BPY2C	0.094787	0.99645	top3	NOT
BRAF	-0.065671	0.99645	top3	NOT
BRAP	0.010157	0.99967	top3	NOT
BRAT1	0.21002	0.74644	top3	NOT
BRCA1	-0.023537	0.99842	top3	NOT
BRCA2	-0.019221	0.99889	top3	NOT
BRCC3	0.07168	0.99645	top3	NOT
BRD1	0.080202	0.99645	top3	NOT
BRD2	0.15284	0.91165	top3	NOT
BRD3	0.096749	0.99645	top3	NOT
BRD4	0.547	0.075269	top3	UP
BRD7	0.2637	0.56863	top3	NOT
BRD8	-0.17686	0.82144	top3	NOT
BRD9	-0.20561	0.74254	top3	NOT
BRDT	0.014787	0.99931	top3	NOT
BRE	0.17122	0.86276	top3	NOT
BRF1	-0.26122	0.5602	top3	NOT
BRF2	-0.19113	0.77644	top3	NOT
BRI3	-0.042359	0.99645	top3	NOT
BRI3BP	0.094682	0.99645	top3	NOT
BRICD5	0.031018	0.99889	top3	NOT
BRINP1	0.051097	0.99645	top3	NOT
BRINP2	0.22571	0.68906	top3	NOT
BRINP3	0.041198	0.99796	top3	NOT
BRIP1	-0.031941	0.99645	top3	NOT
BRIX1	0.20517	0.76035	top3	NOT
BRK1	-0.025697	0.99889	top3	NOT
BRMS1	-0.12725	0.94112	top3	NOT
BRMS1L	0.26262	0.57349000000000006	top3	NOT
BROX	-0.10396	0.97726	top3	NOT
BRPF1	0.084688	0.99645	top3	NOT
BRPF3	0.089221	0.99645	top3	NOT
BRS3	-0.035949	0.99645	top3	NOT
BRSK1	0.16717	0.88072	top3	NOT
BRSK2	0.20948	0.74644	top3	NOT
BRWD1	0.020172	0.99931	top3	NOT
BRWD3	-0.06707	0.99645	top3	NOT
BSCL2	0.0071138	0.99967	top3	NOT
BSDC1	0.16744	0.88035	top3	NOT
BSG	-0.14163	0.91154	top3	NOT
BSN	0.20048	0.77534	top3	NOT
BSND	-0.030084	0.99645	top3	NOT
BSPH1	-0.10945	0.96731	top3	NOT
BSPRY	-0.12869	0.94075	top3	NOT
BST1	0.24978	0.60436	top3	NOT
BST2	0.10555	0.98528	top3	NOT
BSX	0.042341	0.99687	top3	NOT
BTAF1	-0.0347	0.99645	top3	NOT
BTBD1	-0.0016023	0.99931	top3	NOT
BTBD10	-0.20188999999999999	0.74644	top3	NOT
BTBD11	-0.093218	0.985	top3	NOT
BTBD16	-0.021348	0.99889	top3	NOT
BTBD17	-0.11235	0.96236	top3	NOT
BTBD18	0.14375	0.9357	top3	NOT
BTBD2	-0.099154	0.97726	top3	NOT
BTBD3	-0.094648	0.983	top3	NOT
BTBD6	0.04313	0.99687	top3	NOT
BTBD7	-0.24437	0.60784	top3	NOT
BTBD8	0.083632	0.99645	top3	NOT
BTBD9	-0.10039	0.97726	top3	NOT
BTC	0.099393	0.99529	top3	NOT
BTD	0.19164	0.80228	top3	NOT
BTF3	-0.03745	0.99645	top3	NOT
BTF3L4	0.1106	0.97951	top3	NOT
BTG1	0.057037	0.99645	top3	NOT
BTG2	0.044412	0.99687	top3	NOT
BTG3	0.078552	0.99645	top3	NOT
BTG4	-0.12553	0.94112	top3	NOT
BTK	0.0511	0.99645	top3	NOT
BTLA	-0.008084	0.99931	top3	NOT
BTN1A1	0.013105	0.99931	top3	NOT
BTN2A1	0.045461	0.99687	top3	NOT
BTN2A2	-0.093778	0.9841	top3	NOT
BTN3A1	-0.018242	0.99889	top3	NOT
BTN3A2	-0.046092	0.99645	top3	NOT
BTN3A3	-0.090735	0.98576	top3	NOT
BTNL3	0.01384	0.99931	top3	NOT
BTNL8	0.17368	0.85687	top3	NOT
BTNL9	0.060604	0.99645	top3	NOT
BTRC	0.060165	0.99645	top3	NOT
BUB1	0.14216	0.94075	top3	NOT
BUB1B	-0.0792	0.99645	top3	NOT
BUB3	-0.47247	0.076923	top3	DOWN
BUD13	0.1615	0.89711	top3	NOT
BUD31	0.13196	0.95812	top3	NOT
BVES	-0.13358	0.92043	top3	NOT
BYSL	0.15356	0.91165	top3	NOT
BZRAP1	0.007444	0.99967	top3	NOT
BZW1	0.012274	0.99931	top3	NOT
BZW2	-0.031841	0.99645	top3	NOT
C10orf10	-0.029258	0.99687	top3	NOT
C10orf105	-0.12752	0.94079	top3	NOT
C10orf107	-0.15493	0.88481	top3	NOT
C10orf11	0.00963	0.99967	top3	NOT
C10orf111	-0.070456	0.99645	top3	NOT
C10orf113	0.071983	0.99645	top3	NOT
C10orf118	0.027311	0.99909	top3	NOT
C10orf12	-0.1058	0.97516	top3	NOT
C10orf120	-0.069948	0.99645	top3	NOT
C10orf126	-0.045467	0.99645	top3	NOT
C10orf128	0.075066	0.99645	top3	NOT
C10orf129	-0.0015893	0.99931	top3	NOT
C10orf131	-0.19238	0.7717	top3	NOT
C10orf137	-0.037643	0.99645	top3	NOT
C10orf2	-0.13155	0.93528	top3	NOT
C10orf25	-0.10711	0.9711	top3	NOT
C10orf32	-0.029465	0.99687	top3	NOT
C10orf35	0.023376	0.99931	top3	NOT
C10orf53	0.030458	0.99889	top3	NOT
C10orf54	-0.1028	0.97726	top3	NOT
C10orf55	0.0036961	0.99931	top3	NOT
C10orf62	-0.10393	0.97726	top3	NOT
C10orf67	0.40248	0.19196	top3	NOT
C10orf68	0.032779	0.99889	top3	NOT
C10orf71	-0.0032508	0.99931	top3	NOT
C10orf76	-0.0035314	0.99931	top3	NOT
C10orf82	0.12999	0.95812	top3	NOT
C10orf88	0.023825	0.99931	top3	NOT
C10orf90	-0.064085	0.99645	top3	NOT
C10orf91	0.052226	0.99645	top3	NOT
C10orf95	-0.20123	0.75092	top3	NOT
C10orf99	0.089179	0.99645	top3	NOT
C11orf1	-0.042768	0.99645	top3	NOT
C11orf16	0.16017	0.89711	top3	NOT
C11orf21	-0.095027	0.983	top3	NOT
C11orf24	0.21563	0.72951	top3	NOT
C11orf30	0.10721	0.98476	top3	NOT
C11orf31	0.091687	0.99645	top3	NOT
C11orf35	0.0062599	0.99967	top3	NOT
C11orf40	-0.10856	0.97024	top3	NOT
C11orf42	-0.088473	0.99038	top3	NOT
C11orf44	0.081564	0.99645	top3	NOT
C11orf45	0.049632	0.99645	top3	NOT
C11orf48	-0.048325	0.99645	top3	NOT
C11orf49	0.084089	0.99645	top3	NOT
C11orf52	0.19182	0.80228	top3	NOT
C11orf53	0.029702	0.99889	top3	NOT
C11orf54	-0.0097521	0.99931	top3	NOT
C11orf57	-0.14021	0.91165	top3	NOT
C11orf58	-0.14468	0.90357	top3	NOT
C11orf63	-0.060527	0.99645	top3	NOT
C11orf65	0.11864	0.97685	top3	NOT
C11orf68	0.070178	0.99645	top3	NOT
C11orf70	0.20997	0.74644	top3	NOT
C11orf71	-0.032735	0.99645	top3	NOT
C11orf73	-0.083617	0.99645	top3	NOT
C11orf74	0.1713	0.86251	top3	NOT
C11orf80	0.19483	0.79585	top3	NOT
C11orf82	-0.1826	0.80228	top3	NOT
C11orf83	0.099477	0.995	top3	NOT
C11orf84	0.0090185	0.99967	top3	NOT
C11orf85	-0.091248	0.98528	top3	NOT
C11orf86	0.02567	0.99931	top3	NOT
C11orf87	-0.035671	0.99645	top3	NOT
C11orf88	-0.029861	0.99687	top3	NOT
C11orf91	-0.046182	0.99645	top3	NOT
C11orf94	0.053657	0.99645	top3	NOT
C12orf10	0.16778	0.88035	top3	NOT
C12orf23	-0.23066	0.64373	top3	NOT
C12orf29	-0.0021035	0.99931	top3	NOT
C12orf39	0.090692	0.99645	top3	NOT
C12orf4	0.14373	0.9357	top3	NOT
C12orf40	-0.077668	0.99645	top3	NOT
C12orf42	0.015006	0.99931	top3	NOT
C12orf43	0.068155	0.99645	top3	NOT
C12orf44	0.020019	0.99931	top3	NOT
C12orf45	0.16485	0.88509	top3	NOT
C12orf49	-0.049182	0.99645	top3	NOT
C12orf5	-0.068214	0.99645	top3	NOT
C12orf50	-0.060277	0.99645	top3	NOT
C12orf52	-0.12586	0.94112	top3	NOT
C12orf54	0.15399	0.91154	top3	NOT
C12orf56	0.065481	0.99645	top3	NOT
C12orf57	0.11386	0.97726	top3	NOT
C12orf60	0.057545	0.99645	top3	NOT
C12orf61	-0.016984	0.99889	top3	NOT
C12orf65	-0.054349	0.99645	top3	NOT
C12orf66	0.11478	0.97726	top3	NOT
C12orf68	-0.10574	0.97526	top3	NOT
C12orf71	-0.087586	0.99226	top3	NOT
C12orf73	-0.1462	0.90077	top3	NOT
C12orf74	0.018363	0.99931	top3	NOT
C12orf75	-0.033723	0.9974	top3	NOT
C12orf76	0.03979	0.99818	top3	NOT
C12orf77	-0.060044	0.99645	top3	NOT
C12orf79	-0.054147	0.99645	top3	NOT
C13orf35	0.16596	0.88481	top3	NOT
C13orf45	0.019757	0.99931	top3	NOT
C14orf1	0.17789	0.84394	top3	NOT
C14orf105	-0.092835	0.98528	top3	NOT
C14orf119	0.15266	0.91165	top3	NOT
C14orf142	-0.096452	0.98127	top3	NOT
C14orf159	-0.028341	0.99687	top3	NOT
C14orf164	-0.29098	0.44539	top3	NOT
C14orf166	0.0093338	0.99967	top3	NOT
C14orf166B	0.19033	0.80275	top3	NOT
C14orf177	-0.0077345	0.99931	top3	NOT
C14orf178	-0.044462	0.99645	top3	NOT
C14orf180	-0.03337	0.99645	top3	NOT
C14orf182	0.029633	0.99889	top3	NOT
C14orf183	-0.018367	0.99889	top3	NOT
C14orf2	0.029804	0.99889	top3	NOT
C14orf28	-0.53567	0.071429	top3	DOWN
C14orf37	0.11567	0.97726	top3	NOT
C14orf39	-0.0066755	0.99931	top3	NOT
C14orf79	-0.10415	0.97726	top3	NOT
C14orf80	-0.054688	0.99645	top3	NOT
C14orf93	0.01473	0.99931	top3	NOT
C15orf26	-0.048262	0.99645	top3	NOT
C15orf27	-0.013827	0.99889	top3	NOT
C15orf32	-0.051162	0.99645	top3	NOT
C15orf38	0.0343	0.99889	top3	NOT
C15orf38-AP3S2	0.11742	0.99645	top3	NOT
C15orf39	0.11135	0.97768	top3	NOT
C15orf40	-0.19451	0.76655	top3	NOT
C15orf41	0.28776	0.46885	top3	NOT
C15orf43	-0.057479	0.99645	top3	NOT
C15orf48	-0.036436	0.99645	top3	NOT
C15orf52	-0.045721	0.99645	top3	NOT
C15orf53	-0.017553	0.99889	top3	NOT
C15orf54	0.04902	0.99645	top3	NOT
C15orf56	0.052456	0.99645	top3	NOT
C15orf57	0.15309	0.91165	top3	NOT
C15orf59	0.01165	0.99943	top3	NOT
C15orf60	0.10027	0.99323	top3	NOT
C15orf61	0.10596	0.98528	top3	NOT
C15orf62	-0.034502	0.99645	top3	NOT
C15orf65	0.17516	0.85346	top3	NOT
C16orf11	0.047062	0.99645	top3	NOT
C16orf13	0.017464	0.99931	top3	NOT
C16orf3	-0.088515	0.9902	top3	NOT
C16orf45	-0.20434	0.74601	top3	NOT
C16orf46	0.079381	0.99645	top3	NOT
C16orf52	-0.043723	0.99645	top3	NOT
C16orf54	0.050994	0.99645	top3	NOT
C16orf58	-0.0094391	0.99931	top3	NOT
C16orf59	0.16356	0.88933	top3	NOT
C16orf62	-0.13942	0.91165	top3	NOT
C16orf70	-0.20441	0.74601	top3	NOT
C16orf71	0.062149	0.99645	top3	NOT
C16orf72	0.062443	0.99645	top3	NOT
C16orf74	0.0731	0.99645	top3	NOT
C16orf78	0.017037	0.99931	top3	NOT
C16orf80	0.10388	0.98751	top3	NOT
C16orf86	0.014541	0.99931	top3	NOT
C16orf87	-0.12065	0.95707	top3	NOT
C16orf89	-0.14152	0.91154	top3	NOT
C16orf90	0.046477	0.99645	top3	NOT
C16orf91	0.094339	0.99645	top3	NOT
C16orf92	0.15779	0.90226	top3	NOT
C16orf93	-0.13174	0.93321	top3	NOT
C16orf95	0.034541	0.99889	top3	NOT
C16orf96	-0.018876	0.99889	top3	NOT
C16orf97	0.11039	0.97956	top3	NOT
C17orf102	0.0864	0.99645	top3	NOT
C17orf104	-0.049761	0.99645	top3	NOT
C17orf105	-0.21304	0.71157	top3	NOT
C17orf107	0.069673	0.99645	top3	NOT
C17orf112	-0.039365	0.99645	top3	NOT
C17orf47	0.20001	0.77705	top3	NOT
C17orf49	0.12942	0.95812	top3	NOT
C17orf50	-0.086194	0.99277	top3	NOT
C17orf51	0.018363	0.99931	top3	NOT
C17orf53	-0.069837	0.99645	top3	NOT
C17orf58	0.08703	0.99645	top3	NOT
C17orf59	0.085344	0.99645	top3	NOT
C17orf62	0.10011	0.99339	top3	NOT
C17orf64	-0.012377	0.99889	top3	NOT
C17orf66	-0.13869	0.91165	top3	NOT
C17orf70	0.069602	0.99645	top3	NOT
C17orf72	-0.051008	0.99645	top3	NOT
C17orf74	-0.087273	0.99226	top3	NOT
C17orf75	-0.35745	0.2673	top3	NOT
C17orf77	-0.22952	0.64821	top3	NOT
C17orf78	-0.16142	0.85997	top3	NOT
C17orf80	-0.095908	0.98179	top3	NOT
C17orf82	-0.012262	0.99889	top3	NOT
C17orf85	-0.089536	0.98772	top3	NOT
C17orf89	0.026613	0.99931	top3	NOT
C17orf96	-0.039534	0.99645	top3	NOT
C17orf97	-0.045681	0.99645	top3	NOT
C17orf98	0.026461	0.99931	top3	NOT
C17orf99	0.038008	0.99889	top3	NOT
C18orf21	-0.2238	0.67367	top3	NOT
C18orf25	-0.021591	0.99889	top3	NOT
C18orf32	0.1048	0.98528	top3	NOT
C18orf42	-0.059867	0.99645	top3	NOT
C18orf54	-0.11443	0.96152	top3	NOT
C18orf63	0.10382	0.98751	top3	NOT
C18orf64	0.0039337	0.99931	top3	NOT
C18orf8	0.047906	0.99645	top3	NOT
C19orf10	0.14018	0.94112	top3	NOT
C19orf12	0.026265	0.99931	top3	NOT
C19orf18	0.10675	0.985	top3	NOT
C19orf24	-0.14679	0.90012	top3	NOT
C19orf25	0.012043	0.99931	top3	NOT
C19orf26	0.063225	0.99645	top3	NOT
C19orf33	0.094485	0.99645	top3	NOT
C19orf35	0.041001	0.99796	top3	NOT
C19orf38	0.027469	0.99902	top3	NOT
C19orf40	-0.18489	0.7991	top3	NOT
C19orf43	-0.053027	0.99645	top3	NOT
C19orf44	0.021058	0.99931	top3	NOT
C19orf45	0.060125	0.99645	top3	NOT
C19orf47	-0.095378	0.98219	top3	NOT
C19orf48	0.13303	0.95812	top3	NOT
C19orf52	0.18595	0.8216	top3	NOT
C19orf53	0.013392	0.99931	top3	NOT
C19orf54	-0.26633	0.53681	top3	NOT
C19orf57	0.049746	0.99645	top3	NOT
C19orf59	-0.079924	0.99645	top3	NOT
C19orf60	-0.039827	0.99645	top3	NOT
C19orf66	0.095243	0.99645	top3	NOT
C19orf67	0.089274	0.99645	top3	NOT
C19orf70	0.0298	0.99889	top3	NOT
C19orf71	0.13162	0.95812	top3	NOT
C19orf73	-0.085705	0.99339	top3	NOT
C19orf77	0.17652	0.84592	top3	NOT
C19orf80	-0.026435	0.99687	top3	NOT
C19orf81	0.031346	0.99889	top3	NOT
C19orf82	-0.094363	0.98325	top3	NOT
C19orf83	-0.0057347	0.99931	top3	NOT
C1D	-0.048625	0.99645	top3	NOT
C1GALT1	-0.048403	0.99645	top3	NOT
C1GALT1C1	-0.14571	0.90183	top3	NOT
C1QA	0.067418	0.99645	top3	NOT
C1QB	0.088277	0.99645	top3	NOT
C1QBP	0.36126	0.24917	top3	NOT
C1QC	-0.21194	0.71498	top3	NOT
C1QL1	0.043826	0.99687	top3	NOT
C1QL2	-0.0082663	0.99931	top3	NOT
C1QL3	0.10479	0.98528	top3	NOT
C1QL4	0.011932	0.99931	top3	NOT
C1QTNF1	-0.0042038	0.99931	top3	NOT
C1QTNF2	-0.018489	0.99889	top3	NOT
C1QTNF3	0.027459	0.99902	top3	NOT
C1QTNF4	-0.024156	0.99796	top3	NOT
C1QTNF5	0.04026	0.99796	top3	NOT
C1QTNF6	-0.12218999999999999	0.95436	top3	NOT
C1QTNF7	-0.21981	0.69495	top3	NOT
C1QTNF8	0.06794	0.99645	top3	NOT
C1QTNF9	-0.02374	0.99889	top3	NOT
C1QTNF9B	-0.26945	0.90354	top3	NOT
C1RL	0.014121	0.99931	top3	NOT
C1S	0.11523	0.97726	top3	NOT
C1orf100	0.0017598	0.99931	top3	NOT
C1orf101	-0.0071517	0.99931	top3	NOT
C1orf105	0.082414	0.99645	top3	NOT
C1orf106	0.10805	0.983	top3	NOT
C1orf109	0.096575	0.99645	top3	NOT
C1orf110	0.043545	0.99687	top3	NOT
C1orf111	-0.022464	0.99878	top3	NOT
C1orf112	0.13402	0.95658	top3	NOT
C1orf115	-0.014433	0.99889	top3	NOT
C1orf116	-0.034066	0.99645	top3	NOT
C1orf122	0.063981	0.99645	top3	NOT
C1orf123	0.073989	0.99645	top3	NOT
C1orf127	0.24055	0.62247	top3	NOT
C1orf131	0.027441	0.99902	top3	NOT
C1orf137	0.17801	0.84394	top3	NOT
C1orf141	-0.11865	0.95812	top3	NOT
C1orf146	0.16479	0.88566	top3	NOT
C1orf158	0.060286	0.99645	top3	NOT
C1orf159	0.13985	0.94112	top3	NOT
C1orf162	0.19201	0.80228	top3	NOT
C1orf168	-0.093512	0.985	top3	NOT
C1orf172	0.050524	0.99645	top3	NOT
C1orf173	0.019439	0.99931	top3	NOT
C1orf174	-0.075284	0.99645	top3	NOT
C1orf177	-0.058045	0.99645	top3	NOT
C1orf185	-0.034439	0.99645	top3	NOT
C1orf186	0.028624	0.99889	top3	NOT
C1orf189	0.075464	0.99645	top3	NOT
C1orf192	-0.0018714	0.99931	top3	NOT
C1orf194	-0.021028	0.99889	top3	NOT
C1orf195	0.11853	0.97704	top3	NOT
C1orf198	0.10958	0.98138	top3	NOT
C1orf204	0.029483	0.99889	top3	NOT
C1orf21	-0.21301	0.71157	top3	NOT
C1orf210	0.050238	0.99645	top3	NOT
C1orf216	-0.31582	0.3733	top3	NOT
C1orf226	0.1046	0.98528	top3	NOT
C1orf227	0.034329	0.99889	top3	NOT
C1orf228	0.18612	0.82144	top3	NOT
C1orf229	0.10639	0.98528	top3	NOT
C1orf233	-0.082049	0.99645	top3	NOT
C1orf234	0.18514	0.82335	top3	NOT
C1orf27	-0.098478	0.97746	top3	NOT
C1orf35	-0.036376	0.99645	top3	NOT
C1orf43	0.26502	0.5642	top3	NOT
C1orf50	0.09782	0.99645	top3	NOT
C1orf51	0.057797	0.99645	top3	NOT
C1orf52	0.012455	0.99931	top3	NOT
C1orf53	-0.028339	0.99687	top3	NOT
C1orf54	-0.1635	0.85687	top3	NOT
C1orf56	0.0039953	0.99931	top3	NOT
C1orf61	0.19664	0.78663	top3	NOT
C1orf63	0.08546	0.99645	top3	NOT
C1orf64	0.095266	0.99645	top3	NOT
C1orf65	-0.029745	0.99687	top3	NOT
C1orf68	-0.12086	0.95705	top3	NOT
C1orf74	0.12888	0.95814	top3	NOT
C1orf85	-0.023639	0.99842	top3	NOT
C1orf86	-0.12005	0.95812	top3	NOT
C1orf87	-0.097141	0.97951	top3	NOT
C1orf94	-0.050612	0.99645	top3	NOT
C1orf95	0.049903	0.99645	top3	NOT
C2	-0.013082	0.99889	top3	NOT
C20orf112	0.072155	0.99645	top3	NOT
C20orf141	-0.069279	0.99645	top3	NOT
C20orf144	-0.044948	0.99645	top3	NOT
C20orf166	0.070466	0.99645	top3	NOT
C20orf173	-0.077608	0.99645	top3	NOT
C20orf194	0.19513	0.79472	top3	NOT
C20orf195	0.16292	0.89099	top3	NOT
C20orf196	0.23454	0.64655	top3	NOT
C20orf197	0.022554	0.99931	top3	NOT
C20orf201	0.1016	0.99226	top3	NOT
C20orf202	0.069702	0.99645	top3	NOT
C20orf24	0.14036	0.94112	top3	NOT
C20orf26	-0.059983	0.99645	top3	NOT
C20orf27	-0.044297	0.99645	top3	NOT
C20orf78	-0.0066052	0.99931	top3	NOT
C20orf85	0.019058	0.99931	top3	NOT
C20orf96	0.032078	0.99889	top3	NOT
C21orf140	-0.065028	0.99645	top3	NOT
C21orf2	-0.017688	0.99889	top3	NOT
C21orf33	-0.05894	0.99645	top3	NOT
C21orf58	-0.011121	0.99902	top3	NOT
C21orf59	0.2424	0.61833	top3	NOT
C21orf62	0.0080516	0.99972	top3	NOT
C21orf91	-0.065829	0.99645	top3	NOT
C22orf15	0.036736	0.99889	top3	NOT
C22orf23	-0.057584	0.99645	top3	NOT
C22orf24	-0.0011258	0.99931	top3	NOT
C22orf26	-0.026625	0.99687	top3	NOT
C22orf29	0.28385	0.48806	top3	NOT
C22orf31	-0.0011654	0.99931	top3	NOT
C22orf39	0.054765	0.99645	top3	NOT
C22orf42	-1.596e-5	0.99931	top3	NOT
C22orf43	0.088667	0.99645	top3	NOT
C22orf46	-0.074918	0.99645	top3	NOT
C2CD2	0.037737	0.99889	top3	NOT
C2CD2L	-0.010298	0.99931	top3	NOT
C2CD3	0.11242	0.97726	top3	NOT
C2CD4A	0.083943	0.99645	top3	NOT
C2CD4B	0.14738	0.91506	top3	NOT
C2CD4C	0.08278	0.99645	top3	NOT
C2CD4D	-0.025235	0.99796	top3	NOT
C2CD5	0.089859	0.99645	top3	NOT
C2orf15	-0.19483	0.76457	top3	NOT
C2orf16	0.12446	0.96537	top3	NOT
C2orf40	-0.14603	0.90077	top3	NOT
C2orf42	-0.046289	0.99645	top3	NOT
C2orf43	0.19067	0.80228	top3	NOT
C2orf44	0.068272	0.99645	top3	NOT
C2orf47	-0.017256	0.99889	top3	NOT
C2orf48	0.089175	0.99645	top3	NOT
C2orf49	-0.038358	0.99645	top3	NOT
C2orf50	0.0078817	0.99972	top3	NOT
C2orf53	0.043365	0.99687	top3	NOT
C2orf54	0.049901	0.99645	top3	NOT
C2orf57	-0.12915	0.94075	top3	NOT
C2orf61	0.045315	0.99687	top3	NOT
C2orf62	0.13714	0.94357	top3	NOT
C2orf66	0.059968	0.99645	top3	NOT
C2orf68	0.020885	0.99931	top3	NOT
C2orf69	0.018632	0.99931	top3	NOT
C2orf70	-0.052185	0.99645	top3	NOT
C2orf71	0.0045012	0.99931	top3	NOT
C2orf72	-0.10252	0.97726	top3	NOT
C2orf73	-0.022459	0.99878	top3	NOT
C2orf76	0.088762	0.99645	top3	NOT
C2orf78	-0.11102	0.9658	top3	NOT
C2orf80	0.019982	0.99931	top3	NOT
C2orf82	-0.033516	0.99645	top3	NOT
C2orf83	-0.16007	0.86334	top3	NOT
C2orf88	0.19227	0.80228	top3	NOT
C2orf91	0.12381	0.9658	top3	NOT
C3	-0.01503	0.99889	top3	NOT
C3AR1	0.036274	0.99889	top3	NOT
C3orf14	-0.0073811	0.99931	top3	NOT
C3orf17	-0.012022	0.99889	top3	NOT
C3orf18	-0.11794	0.95812	top3	NOT
C3orf20	0.11143	0.97746	top3	NOT
C3orf22	-0.013911	0.99889	top3	NOT
C3orf27	-0.034357	0.99645	top3	NOT
C3orf30	0.085508	0.99645	top3	NOT
C3orf33	0.10734	0.9841	top3	NOT
C3orf35	0.1587	0.90046	top3	NOT
C3orf36	0.16055	0.89711	top3	NOT
C3orf38	-0.096644	0.98025	top3	NOT
C3orf43	0.024702000000000002	0.99931	top3	NOT
C3orf52	0.041647000000000003	0.99796	top3	NOT
C3orf55	0.25304	0.59657	top3	NOT
C3orf56	0.059079	0.99645	top3	NOT
C3orf58	0.002133	0.99931	top3	NOT
C3orf62	0.059441	0.99645	top3	NOT
C3orf67	0.046789	0.99645	top3	NOT
C3orf70	0.054476	0.99645	top3	NOT
C3orf72	-0.0035294	0.99931	top3	NOT
C3orf79	-0.15709	0.88035	top3	NOT
C3orf80	0.11862	0.97685	top3	NOT
C3orf83	-0.11388	0.96152	top3	NOT
C3orf84	0.1214	0.97031	top3	NOT
C4A	-0.20078	0.9658	top3	NOT
C4B	-0.010151	0.99931	top3	NOT
C4BPA	0.0020830000000000002	0.99931	top3	NOT
C4BPB	0.014674	0.99931	top3	NOT
C4orf17	0.16389	0.88878	top3	NOT
C4orf19	0.13249	0.95812	top3	NOT
C4orf21	-0.10595	0.97441	top3	NOT
C4orf22	0.068584	0.99645	top3	NOT
C4orf26	0.098256	0.99645	top3	NOT
C4orf27	-0.075894	0.99645	top3	NOT
C4orf29	-0.14172	0.91154	top3	NOT
C4orf3	0.063257	0.99645	top3	NOT
C4orf32	0.092203	0.99645	top3	NOT
C4orf33	-0.014957	0.99889	top3	NOT
C4orf36	0.023636	0.99931	top3	NOT
C4orf40	-0.098936	0.97726	top3	NOT
C4orf45	-0.0092424	0.99931	top3	NOT
C4orf46	-0.041899	0.99645	top3	NOT
C4orf47	0.12273	0.96731	top3	NOT
C4orf48	0.15883	0.90016	top3	NOT
C4orf51	-0.052277	0.99645	top3	NOT
C4orf6	0.039833	0.99818	top3	NOT
C5	0.050771	0.99645	top3	NOT
C5AR1	0.024562	0.99931	top3	NOT
C5AR2	0.097774	0.99645	top3	NOT
C5orf15	-0.23863	0.61833	top3	NOT
C5orf20	0.056987	0.99645	top3	NOT
C5orf22	-0.2081	0.73645	top3	NOT
C5orf24	-0.018038	0.99889	top3	NOT
C5orf28	-0.079441	0.99645	top3	NOT
C5orf30	-0.030689	0.99645	top3	NOT
C5orf34	-0.059995	0.99645	top3	NOT
C5orf38	0.037367	0.99889	top3	NOT
C5orf42	-0.15537	0.8848	top3	NOT
C5orf45	-0.0748	0.99645	top3	NOT
C5orf46	-0.010429	0.99931	top3	NOT
C5orf47	0.067844	0.99645	top3	NOT
C5orf48	-0.059504	0.99645	top3	NOT
C5orf49	-0.020961	0.99889	top3	NOT
C5orf51	-0.060683	0.99645	top3	NOT
C5orf52	-0.15195	0.88878	top3	NOT
C5orf54	0.076301	0.99645	top3	NOT
C5orf55	-0.0020017	0.99931	top3	NOT
C5orf58	0.22438	0.69136	top3	NOT
C5orf60	-0.021939	0.99889	top3	NOT
C5orf63	-0.014312	0.99889	top3	NOT
C5orf64	0.026412	0.99931	top3	NOT
C5orf66	0.089595	0.99645	top3	NOT
C6	-0.13752	0.91165	top3	NOT
C6orf1	0.01309	0.99931	top3	NOT
C6orf10	0.035879	0.99889	top3	NOT
C6orf106	-0.093918	0.98408	top3	NOT
C6orf118	0.031479	0.99889	top3	NOT
C6orf120	-0.10726	0.9711	top3	NOT
C6orf132	-0.024386	0.99796	top3	NOT
C6orf136	0.061456	0.99645	top3	NOT
C6orf141	-0.043463	0.99645	top3	NOT
C6orf15	-0.12214	0.95436	top3	NOT
C6orf163	0.03704	0.99889	top3	NOT
C6orf165	0.019937	0.99931	top3	NOT
C6orf195	-0.034654	0.99645	top3	NOT
C6orf201	-0.10992	0.96731	top3	NOT
C6orf203	0.17377	0.85687	top3	NOT
